site,PlotID,year,pre_post_fire,postTime,OBS,Species,Status,Lifeform,TSE#(by plot by sp.),TSE_HT_m(Of Tallest),TSE_Age(Of Tallest),TSA_DBH,TSA_Age,TSA_HT(m),TSA_cohort_ct,#resp,TRE# (by plot by sp.),TRE_HT_m(of tallest),TRE_Age(Of Tallest),NOTES,
independence,Indy17,2020,prefire,NA,,PICO,live,TSA,na,na,na,,,5,,,na,na,na,,
independence,Indy18,2020,prefire,NA,,na,na,na,na,na,na,na,na,na,,,na,na,na,,
independence,Indy19,2020,prefire,NA,,ABCO,live,TSE,1,0.5,15,na,na,na,,,na,na,na,,
independence,Indy19,2020,prefire,NA,,ABCO,dead,TSE,1,0.4,>1,na,na,na,,,na,na,na,,
independence,Indy19,2020,prefire,NA,,ABMA,live,TSE,2,0.08,0,na,na,na,,,na,na,na,,
independence,Indy19,2020,prefire,NA,,ABMA,live,TSE,1,na,1,na,na,na,,,na,na,na,,
independence,Indy20,2020,prefire,NA,,ABCO,live,TSE,1,1.6,10,na,na,na,,,na,na,na,,
independence,Indy20,2020,prefire,NA,,ABCO,live,TSE,1,1.7,10,na,na,na,,,na,na,na,,
independence,Indy20,2020,prefire,NA,,ABCO,live,TSE,1,0.5,10,na,na,na,,,na,na,na,,
independence,Indy21,2020,prefire,NA,,ABCO,live,TSE,1,0.3,10,na,na,na,,,na,na,na,,
independence,Indy21,2020,prefire,NA,,PIJE,live,TSE,2,0.1,4,na,na,na,,,na,na,na,"PIJE tsa @ d 5m, 1.5m h",
independence,Indy22,2020,prefire,NA,,ABCO,live,TSE,1,na,1,na,na,na,,,na,na,na,,
independence,Indy22,2020,prefire,NA,,ABCO,live,TSE,1,na,15,na,na,na,,,na,na,na,,
independence,Indy22,2020,prefire,NA,,ABCO,live,TSE,1,0.55,22,na,na,na,,,na,na,na,,
independence,Indy22,2020,prefire,NA,,ABCO,live,TSA,na,na,na,6.5,40,3.2,,,na,na,na,,
independence,Indy23,2020,prefire,NA,,ABCO,live,TSE,1,0.6,>20,na,na,na,,,na,na,na,,
independence,Indy24,2020,prefire,NA,,ABCO,live,TSA,na,na,na,,,2.2,,,na,na,na,,
independence,Indy24,2020,prefire,NA,,PICO,live,TSA,na,na,na,,,1.8,,,na,na,na,no PICO tse found outside macro plot,
independence,Indy24,2020,prefire,NA,,PICO,live,TSA,na,na,na,,,2.4,,,na,na,na,no ABCO tse found outside macro plot,
independence,Indy24,2020,prefire,NA,,POTR,live,TRE,na,na,na,na,na,na,,,5,1.7,,,
independence,Indy24,2020,prefire,NA,,POTR,live,TRE,na,na,na,na,na,na,,,5,0.9,,one individual - split,
independence,Indy24,2020,prefire,NA,,POTR,live,TRE,na,na,na,na,na,na,,,7,1,,,
independence,Indy24,2020,prefire,NA,,POTR,live,TRE,na,na,na,na,na,na,,,8,1.5,,,
independence,Indy24,2020,prefire,NA,,POTR,live,TRE,na,na,na,na,na,na,,,2,0.5,,,
independence,Indy24,2020,prefire,NA,,POTR,live,TRE,na,na,na,na,na,na,,,4,0.4,,,
independence,Indy24,2020,prefire,NA,,POTR,live,TRE,na,na,na,na,na,na,,,1,0.1,,,
independence,Indy24,2020,prefire,NA,,POTR,live,TRE,na,na,na,na,na,na,,,2,0.3,,,
independence,Indy24,2020,prefire,NA,,POTR,live,TRE,na,na,na,na,na,na,,,1,0.2,,,
independence,Indy24,2020,prefire,NA,,POTR,live,TRE,na,na,na,na,na,na,,,6,1.3,,,
independence,Indy24,2020,prefire,NA,,POTR,live,TRE,na,na,na,na,na,na,,,6,0.8,,,
independence,Indy24,2020,prefire,NA,,POTR,live,TRE,na,na,na,na,na,na,,,4,1.8,,one individual - split,
independence,Indy24,2020,prefire,NA,,POTR,live,TRE,na,na,na,na,na,na,,,5,1.6,,,
independence,Indy24,2020,prefire,NA,,POTR,live,TRE,na,na,na,na,na,na,,,4,1.2,,,
independence,Indy24,2020,prefire,NA,,POTR,live,TRE,na,na,na,na,na,na,,,2,2.5,,,
independence,Indy24,2020,prefire,NA,,POTR,live,TRE,na,na,na,na,na,na,,,3,1.1,,,
independence,Indy24,2020,prefire,NA,,POTR,live,TRE,na,na,na,na,na,na,,,5,0.6,,,
independence,Indy24,2020,prefire,NA,,POTR,live,TRE,na,na,na,na,na,na,,,1,2.1,,,
independence,Indy24,2020,prefire,NA,,POTR,live,TRE,na,na,na,na,na,na,,,2,1.4,,,
independence,Indy24,2020,prefire,NA,,POTR,live,TRE,na,na,na,na,na,na,,,1,0.7,,,
independence,Indy24,2020,prefire,NA,,POTR,live,TRE,na,na,na,na,na,na,,,2,1.9,,,
independence,Indy24,2020,prefire,NA,,POTR,live,TRE,na,na,na,na,na,na,,,2,2.3,,one individual - split,
independence,Indy25,2020,prefire,NA,,ABCO,live,TSE,42,na,2,na,na,na,,,na,na,na,,
independence,Indy25,2020,prefire,NA,,ABCO,live,TSE,80,na,3,na,na,na,,,na,na,na,,
independence,Indy25,2020,prefire,NA,,ABCO,live,TSE,56,na,4,na,na,na,,,na,na,na,,
independence,Indy25,2020,prefire,NA,,ABCO,live,TSE,18,na,6,na,na,na,,,na,na,na,,
independence,Indy25,2020,prefire,NA,,ABCO,live,TSE,52,na,5,na,na,na,,,na,na,na,,
independence,Indy25,2020,prefire,NA,,ABCO,live,TSE,12,na,1,na,na,na,,,na,na,na,,
independence,Indy25,2020,prefire,NA,,ABCO,live,TSE,32,na,0,na,na,na,,,na,na,na,,
independence,Indy25,2020,prefire,NA,,ABCO,live,TSE,2,0.5,12,na,na,na,,,na,na,na,,
independence,Indy25,2020,prefire,NA,,ABCO,live,TSE,2,na,7,na,na,na,,,na,na,na,,
independence,Indy25,2020,prefire,NA,,ABCO,live,TSE,4,na,8,na,na,na,,,na,na,na,,
independence,Indy25,2020,prefire,NA,,ABCO,live,TSE,2,na,10,na,na,na,,,na,na,na,,
independence,Indy25,2020,prefire,NA,,ABMA,live,TSE,1,0.6,7,na,na,na,,,na,na,na,,
independence,Indy25,2020,prefire,NA,,POTR,live,TSE,4,1.2,>1,na,na,na,,,na,na,na,,
independence,Indy25,2020,prefire,NA,,POTR,live,TSA,na,na,na,1.7,na,2.3,,,na,na,na,,
independence,Indy25,2020,prefire,NA,,POTR,live,TSA,na,na,na,1.3,na,2,,,na,na,na,,
independence,Indy25,2020,prefire,NA,,POTR,live,TSA,na,na,na,1.3,na,2,,,na,na,na,,
independence,Indy25,2020,prefire,NA,,POTR,live,TSA,na,na,na,1,na,2,,,na,na,na,,
independence,Indy25,2020,prefire,NA,,POTR,live,TSA,na,na,na,1.5,na,2.5,,,na,na,na,,
independence,Indy25,2020,prefire,NA,,POTR,live,TSA,na,na,na,0.9,na,1.6,,,na,na,na,,
independence,Indy25,2020,prefire,NA,,POTR,live,TSA,na,na,na,4,na,4,,,na,na,na,,
independence,Indy26,2020,prefire,NA,,ABCO,live,TSE,32,0.1,1,na,na,na,,,na,na,na,,
independence,Indy26,2020,prefire,NA,,ABCO,live,TSE,1,0.4,10,na,na,na,,,na,na,na,,
independence,Indy26,2020,prefire,NA,,PICO,live,TSE,7,0.1,2,na,na,na,,,na,na,na,,
independence,Indy26,2020,prefire,NA,,PICO,live,TSE,4,0.1,5,na,na,na,,,na,na,na,,
independence,Indy26,2020,prefire,NA,,PICO,live,TSE,6,0.1,7,na,na,na,,,na,na,na,,
independence,Indy26,2020,prefire,NA,,PICO,live,TSE,7,0.1,4,na,na,na,,,na,na,na,,
independence,Indy26,2020,prefire,NA,,PICO,live,TSE,4,0.2,10,na,na,na,,,na,na,na,,
independence,Indy26,2020,prefire,NA,,PICO,live,TSE,6,0.1,1,na,na,na,,,na,na,na,,
independence,Indy26,2020,prefire,NA,,PICO,live,TSE,1,0.4,10,na,na,na,,,na,na,na,,
independence,Indy26,2020,prefire,NA,,PICO,live,TSA,na,na,na,,,4.6,,,na,na,na,,
independence,Indy26,2020,prefire,NA,,PICO,live,TSA,na,na,na,,,4.2,,,na,na,na,,
independence,Indy26,2020,prefire,NA,,PIJE,live,TSE,1,0.1,2,na,na,na,,,na,na,na,,
independence,Indy27,2020,prefire,NA,,ABCO,live,TSA,na,na,na,6.5,>40,2.7,,,na,na,na,,
independence,Indy27,2020,prefire,NA,,ABMA,live,TSE,1,0.1,2,na,na,na,,,na,na,na,,
independence,Indy28,2020,prefire,NA,,ABCO,live,TSE,1,0.1,2,na,na,na,,,na,na,na,,
independence,Indy28,2020,prefire,NA,,ABCO,live,TSA,na,na,na,,,1.7,,,na,na,na,,
