site,plotid,year,pre_post_fire,postTime,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,fuel1_cm,duff2_cm,litter2_cm,fuel2_cm,fuel3_cm,notes,project,observer,offset_dist_direction,burnpile_ht_m,ID,litter3_cm,duff3_cm
BearMountain,BM05,2019,prefire,,90,,2,2,4,11.3,11,5,0,0,3,,0,5,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM05,2021,postfire,2yr,E,,2,2,3,11.3,1,0,0,0.8,2,2.2,0,1.2,2.5,,,CPFMP,mm,,,NA,NA,NA
BearMountain,BM05,2021,postfire,2yr,N,,2,2,3,11.3,0,0,0,0,1.2,1.5,0,2.5,2.8,,,CPFMP,mm,,,NA,NA,NA
BearMountain,BM05,2021,postfire,2yr,S,,2,2,3,11.3,0,0,0,0,1.8,1.5,0.5,1.5,1.5,,,CPFMP,mm,,,NA,NA,NA
BearMountain,BM05,2021,postfire,2yr,W,,2,2,3,11.3,5,7,0,0,0.5,0.8,0,3,2.8,,,CPFMP,mm,,,NA,NA,NA
BearMountain,BM06,2019,postfire,immediate,0,,2,2,4,11.3,5,1,0,1,1,,2,2,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM06,2019,postfire,immediate,180,,2,2,4,11.3,5,0,0,0.5,2,,0,1.5,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM06,2019,postfire,immediate,270,,2,2,4,11.3,0,0,0,0,0,,0,0.05,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM06,2019,postfire,immediate,90,21,2,2,4,11.3,1,0,0,1,2,,0.05,1.5,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM06,2019,prefire,,0,,2,2,4,11.3,2,1,4,1,2,,1,1.5,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM06,2019,prefire,,180,,2,2,4,11.3,3,1,0,0,0.05,,0.05,0.5,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM06,2019,prefire,,270,,2,2,4,11.3,5,12,5,1,3,,1,4,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM06,2019,prefire,,90,21,2,2,4,11.3,3,2,0,2,5,,0.05,1,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM06,2021,postfire,2yr,E,21,2,2,3,11.3,15,1,0,0,1.5,2.3,0,0.5,5.4,,,CPFMP,mm,,,NA,NA,NA
BearMountain,BM06,2021,postfire,2yr,N,,2,2,3,11.3,0,2,0,0,1.5,2.8,2.3,1.8,2.5,,,CPFMP,mm,,,NA,NA,NA
BearMountain,BM06,2021,postfire,2yr,S,,2,2,3,11.3,5,0,0,0,1,1.2,0,2,0.7,,,CPFMP,mm,,,NA,NA,NA
BearMountain,BM06,2021,postfire,2yr,W,,2,2,3,11.3,0,0,0,0,4.2,4.3,1.1,3.2,4.2,,,CPFMP,mm,,,NA,NA,NA
BearMountain,BM07,2019,postfire,immediate,0,,2,2,4,11.3,2,4,4,0.5,0.5,,3,4,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM07,2019,postfire,immediate,180,,2,2,4,11.3,0,0,0,0,0.5,,0,0,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM07,2019,postfire,immediate,270,,2,2,4,11.3,0,4,3,0,2,,0.05,2,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM07,2019,postfire,immediate,90,,2,2,4,11.3,0,1,2,0,1,,0,0.05,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM07,2019,prefire,,0,,2,2,4,11.3,0,0,1,2,1,,0,3,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM07,2019,prefire,,180,,2,2,4,11.3,0,4,4,7,11,,0.05,4,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM07,2019,prefire,,270,,2,2,4,11.3,1,0,2,0.05,3,,2,4,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM07,2019,prefire,,90,,2,2,4,11.3,2,7,3,1,4,,0.05,6,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM07,2021,postfire,2yr,E,,2,2,3,11.3,3,3,9,0,0,0.5,0.8,3,3.2,,,CPFMP,mm,,,NA,NA,NA
BearMountain,BM07,2021,postfire,2yr,N,,2,2,3,11.3,5,1,0,0,2.4,2,0,2.5,0.8,,,CPFMP,mm,,,NA,NA,NA
BearMountain,BM07,2021,postfire,2yr,S,,2,2,3,11.3,3,0,0,0,2,2.5,0,1.8,2.2,,,CPFMP,mm,,,NA,NA,NA
BearMountain,BM07,2021,postfire,2yr,W,,2,2,3,11.3,4,0,2,0,0.5,1.5,0,2.8,1.5,,,CPFMP,mm,,,NA,NA,NA
BearMountain,BM08,2019,postfire,immediate,0,,2,2,4,11.3,0,0,0,0,1,,0,1,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM08,2019,postfire,immediate,180,,2,2,4,11.3,0,0,0,0,0,,0,3,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM08,2019,postfire,immediate,270,,2,2,4,11.3,0,0,1,0,0.05,,0,0.5,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM08,2019,postfire,immediate,90,,2,2,4,11.3,8,5,1,0.5,2,,0.05,0.5,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM08,2019,prefire,,0,,2,2,4,11.3,1,0,0,0.05,3,,0.5,1.5,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM08,2019,prefire,,180,,2,2,4,11.3,4,0,0,0.05,0.05,,0.05,0.05,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM08,2019,prefire,,270,,2,2,4,11.3,10,2,1,0,2,,0,11,,,,CPFMP,"RH, MS",,,NA,NA,NA
