jurisdiction,site,plot_id,year,pre_post_fire,postTime,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,duff2_cm,litter2_cm,fuel1_cm,fuel2_cm,fuel3_cm,notes,,
StanislausNF,BearMountain,BM21,2019,prefire,,180,,2,2,4,11.3,23,0,0,2,2,4,5,,,,,,
StanislausNF,BearMountain,BM21,2019,prefire,,90,,2,2,4,11.3,7,0,0,0,3,0,2,,,,,,
StanislausNF,BearMountain,BM21,2019,prefire,,270,,2,2,4,11.3,7,1,0,0,0.05,0,2,,,,,,
StanislausNF,BearMountain,BM21,2019,postfire,,0,,2,2,4,11.3,6,1,3,1,2.5,1,1,,,,,,
StanislausNF,BearMountain,BM21,2019,postfire,,180,,2,2,4,11.3,5,0,0,1,2.5,1,1,,,,,,
StanislausNF,BearMountain,BM21,2019,postfire,,90,,2,2,4,11.3,5,0,0,2,1,0.5,0.5,,,,,,
StanislausNF,BearMountain,BM21,2019,postfire,,270,,2,2,4,11.3,2,0,0,0,1.5,0.05,0.05,,,,,,
StanislausNF,BearMountain,BM22,2019,prefire,,0,,2,2,4,11.3,1,0,1,0.05,6,1,1,,,,,,
StanislausNF,BearMountain,BM22,2019,prefire,,180,,2,2,4,11.3,9,6,0,1,2,7,3,,,,,,
StanislausNF,BearMountain,BM22,2019,prefire,,90,,2,2,4,11.3,4,2,1,0,7,0,4,,,,,,
StanislausNF,BearMountain,BM22,2019,prefire,,270,,2,2,4,11.3,0,7,3,0,0.05,0.05,3,,,,,,
StanislausNF,BearMountain,BM22,2019,postfire,,0,,2,2,4,11.3,0,0,1,0,0,0,0,,,,,,
StanislausNF,BearMountain,BM22,2019,postfire,,180,,2,2,4,11.3,5,3,1,0,0,0,0,,,,,,
StanislausNF,BearMountain,BM22,2019,postfire,,90,,2,2,4,11.3,45,15,5,0.05,0.05,0,1.5,,,,,,
StanislausNF,BearMountain,BM22,2019,postfire,,270,,2,2,4,11.3,2,4,1,0.05,2,1,1,,,,,,
StanislausNF,BearMountain,BM23,2019,prefire,,0,,2,2,4,11.3,7,8,10,0.05,4,3,2.5,,,,,,
StanislausNF,BearMountain,BM23,2019,prefire,,180,,2,2,4,11.3,0,3,7,3,3,6,5,,,,,,
StanislausNF,BearMountain,BM23,2019,prefire,,90,,2,2,4,11.3,2,2,14,1,4,5,3,,,,,,
StanislausNF,BearMountain,BM23,2019,prefire,,270,,2,2,4,11.3,0,2,5,0.05,1,0.05,3,,,,,,
StanislausNF,BearMountain,BM23,2019,postfire,,0,,2,2,4,11.3,2,1,0,1.5,2,0,0.05,,,,,,
StanislausNF,BearMountain,BM23,2019,postfire,,180,,2,2,4,11.3,7,4,0,0,0.05,0,0.05,,,,,,
StanislausNF,BearMountain,BM23,2019,postfire,,90,,2,2,4,11.3,0,0,0,0,0,0,0,,,,,,
StanislausNF,BearMountain,BM23,2019,postfire,,270,,2,2,4,11.3,0,5,1,0,0.05,0,1,,,,,,
StanislausNF,BearMountain,BM24,2019,prefire,,0,,2,2,4,11.3,5,2,0,0.05,2.5,0.05,1.5,,,,,,
StanislausNF,BearMountain,BM24,2019,prefire,,180,,2,2,4,11.3,22,11,4,0.05,0.05,0,0.05,,,,,,
StanislausNF,BearMountain,BM24,2019,prefire,,90,,2,2,4,11.3,3,2,0,0,7,0,13.5,,,,,,
StanislausNF,BearMountain,BM24,2019,prefire,,270,,2,2,4,11.3,1,2,1,0,4,0,4,,,,,,
