plot_id,location,mass,fuel_size
burton3,LakesDistrict,0.590981985,mass_cwd_rotten
burton4,LakesDistrict,0.417814606,mass_1hr
burton4,LakesDistrict,1.182103749,mass_10hr
burton4,LakesDistrict,0.276698415,mass_100hr
burton5,LakesDistrict,0.250688764,mass_1hr
burton5,LakesDistrict,2.294671983,mass_10hr
burton5,LakesDistrict,0.830095244,mass_100hr
burton6,LakesDistrict,0.584940449,mass_1hr
burton6,LakesDistrict,2.433743012,mass_10hr
burton6,LakesDistrict,2.213587317,mass_100hr
burton6,LakesDistrict,1.490905652,mass_cwd_sound
burton6,LakesDistrict,7.345124758,mass_cwd_rotten
burton7,LakesDistrict,0.316085832,mass_1hr
burton7,LakesDistrict,1.738387866,mass_10hr
burton7,LakesDistrict,6.364063537,mass_100hr
burton7,LakesDistrict,1.931537687,mass_cwd_sound
burton8,LakesDistrict,0.141693649,mass_1hr
burton8,LakesDistrict,1.80792338,mass_10hr
burton8,LakesDistrict,4.15047622,mass_100hr
burton8,LakesDistrict,4.475734983,mass_cwd_sound
burton9,LakesDistrict,0.276120957,mass_1hr
burton9,LakesDistrict,1.94699441,mass_10hr
burton9,LakesDistrict,3.59707939,mass_100hr
burton9,LakesDistrict,0.301802764,mass_cwd_sound
hcp1,SlyPark,0.660155747,mass_1hr
hcp1,SlyPark,3.05221946,mass_10hr
hcp1,SlyPark,1.12981488,mass_100hr
hcp1,SlyPark,0.249544992,mass_cwd_sound
hcp10,SlyPark,0.081064626,mass_1hr
hcp10,SlyPark,2.256729858,mass_10hr
hcp10,SlyPark,2.245016727,mass_100hr
hcp11,SlyPark,0.404482928,mass_1hr
hcp11,SlyPark,1.157596745,mass_10hr
hcp11,SlyPark,0,mass_100hr
hcp11,SlyPark,0.530689577,mass_cwd_sound
hcp11,SlyPark,0.546390452,mass_cwd_rotten
hcp2,SlyPark,0.176294115,mass_1hr
hcp2,SlyPark,2.671167173,mass_10hr
hcp2,SlyPark,3.356593243,mass_100hr
hcp3,SlyPark,0.108995115,mass_1hr
hcp3,SlyPark,1.529781322,mass_10hr
hcp3,SlyPark,1.106793659,mass_100hr
hcp3,SlyPark,0.301802764,mass_cwd_sound
hcp4,SlyPark,0.44687997,mass_1hr
hcp4,SlyPark,2.364207498,mass_10hr
hcp4,SlyPark,1.106793659,mass_100hr
hcp4,SlyPark,0.65415749,mass_cwd_rotten
hcp5,SlyPark,0.065397069,mass_1hr
hcp5,SlyPark,1.112568234,mass_10hr
hcp5,SlyPark,0,mass_100hr
hcp6,SlyPark,0.369230972,mass_1hr
hcp6,SlyPark,2.926629066,mass_10hr
hcp6,SlyPark,2.272342595,mass_100hr
hcp6,SlyPark,0.446131466,mass_cwd_sound
hcp9,SlyPark,0.159859501,mass_1hr
hcp9,SlyPark,1.112568234,mass_10hr
hcp9,SlyPark,0.830095244,mass_100hr
hcp9,SlyPark,1.423754537,mass_cwd_rotten
spi1,SlyPark,0.083562921,mass_1hr
spi1,SlyPark,2.155600954,mass_10hr
spi1,SlyPark,1.660190488,mass_100hr
spi1,SlyPark,1.798744471,mass_cwd_sound
spi10,SlyPark,0.065397069,mass_1hr
spi10,SlyPark,0.278142059,mass_10hr
spi10,SlyPark,0,mass_100hr
spi10,SlyPark,0.53022973,mass_cwd_rotten
spi11,SlyPark,0.123527797,mass_1hr
spi11,SlyPark,0.556284117,mass_10hr
