"","site","plotid","pre_post_fire","year","status","BA_m2_ha_plot","n_trees_totalPlot","n_trees_acre","n_trees_ha"
"247","calaveras","BTN01","postfire","2022","DEAD",20.9360447908054,3,30,74.1315
"248","calaveras","BTN01","postfire","2022","LIVE",53.9060175274412,5,50,123.5525
"249","calaveras","BTN01","prefire","2020","DEAD",20.7341283147871,2,20,49.421
"250","calaveras","BTN01","prefire","2020","LIVE",54.0489398081523,6,60,148.263
"251","calaveras","BTN02","postfire","2022","DEAD",21.9664709132307,2,20,49.421
"252","calaveras","BTN02","postfire","2022","LIVE",38.182106738298,2,20,49.421
"253","calaveras","BTN02","prefire","2020","DEAD",21.9664709132307,2,20,49.421
"254","calaveras","BTN02","prefire","2020","LIVE",38.182106738298,2,20,49.421
"255","calaveras","BTN03","prefire","2020","DEAD",32.0307185793408,7,70,172.9735
"256","calaveras","BTN03","prefire","2020","LIVE",52.6522246997475,8,80,197.684
"257","calaveras","BTN04","postfire","2022","DEAD",29.1435109296093,10,100,247.105
"258","calaveras","BTN04","postfire","2022","LIVE",20.0424033014997,5,50,123.5525
"259","calaveras","BTN04","prefire","2020","DEAD",27.1698763551957,7,70,172.9735
"260","calaveras","BTN04","prefire","2020","LIVE",21.8221367309789,8,80,197.684
"261","calaveras","BTN05","postfire","2022","DEAD",37.8929143690989,6,60,148.263
"262","calaveras","BTN05","postfire","2022","LIVE",26.3141572797827,6,60,148.263
"263","calaveras","BTN05","prefire","2020","DEAD",33.9803265680845,5,50,123.5525
"264","calaveras","BTN05","prefire","2020","LIVE",29.8679959401592,7,70,172.9735
"265","calaveras","BTN06","postfire","2022","DEAD",61.5205577975454,24,240,593.052
"266","calaveras","BTN06","postfire","2022","LIVE",17.1576215994328,2,20,49.421
"267","calaveras","BTN06","prefire","2020","DEAD",19.1448414807681,9,90,222.3945
"268","calaveras","BTN06","prefire","2020","LIVE",64.6092743640875,18,180,444.789
"269","calaveras","BTN07","postfire","2022","DEAD",10.3534788504719,2,20,49.421
"270","calaveras","BTN07","postfire","2022","LIVE",52.4457474421198,5,50,123.5525
"271","calaveras","BTN07","prefire","2020","DEAD",0.665466555766017,2,20,49.421
"272","calaveras","BTN07","prefire","2020","LIVE",60.652922467204,6,60,148.263
"273","calaveras","BTN08","postfire","2022","DEAD",25.0847064109553,4,40,98.842
"274","calaveras","BTN08","postfire","2022","LIVE",182.218984251906,18,180,444.789
"275","calaveras","BTN08","prefire","2020","DEAD",2.67469463431436,2,20,49.421
"276","calaveras","BTN08","prefire","2020","LIVE",143.041152146576,16,160,395.368
"277","calaveras","BTN09","postfire","2022","DEAD",11.5316160742981,4,40,98.842
"278","calaveras","BTN09","postfire","2022","LIVE",47.5815282988256,9,90,222.3945
"279","calaveras","BTN09","prefire","2020","DEAD",10.3571468833408,3,30,74.1315
"280","calaveras","BTN09","prefire","2020","LIVE",45.9197347410076,10,100,247.105
"281","calaveras","BTN10","postfire","2022","DEAD",73.4187248601708,8,80,197.684
"282","calaveras","BTN10","postfire","2022","LIVE",31.3837086334069,4,40,98.842
"283","calaveras","BTN10","prefire","2020","DEAD",37.4394756392171,4,40,98.842
"284","calaveras","BTN10","prefire","2020","LIVE",75.7124292656583,8,80,197.684
"285","calaveras","BTN11","postfire","2022","DEAD",4.4400470460379,4,40,98.842
"286","calaveras","BTN11","postfire","2022","LIVE",18.3929917805617,21,210,518.9205
"287","calaveras","BTN11","prefire","2020","DEAD",2.60700099068195,2,20,49.421
"288","calaveras","BTN11","prefire","2020","LIVE",18.4788315127252,21,210,518.9205
"289","calaveras","BTN12","postfire","2022","DEAD",56.0431367149709,19,190,469.4995
"290","calaveras","BTN12","postfire","2022","LIVE",37.776643549431,12,120,296.526
"291","calaveras","BTN12","prefire","2020","DEAD",30.050330166629,9,90,222.3945
"292","calaveras","BTN12","prefire","2020","LIVE",51.6951980498617,21,210,518.9205
"293","calaveras","BTN13","postfire","2022","DEAD",14.0009202755385,4,40,98.842
"294","calaveras","BTN13","postfire","2022","LIVE",58.4057380341325,7,70,172.9735
"295","calaveras","BTN13","prefire","2020","DEAD",12.8168831469921,3,30,74.1315
"296","calaveras","BTN13","prefire","2020","LIVE",59.5897751626789,8,80,197.684
