"","project","site","year","plotid","pre_post_fire","postFire","tag_id","status","species","dbh_cm","ht_m","ht2crown_m","livecrownratio_perc","crownclass","crownwidth_m","bolechar_m","decay","scorch_ht_m","scorch_percent","torch_ht_m","torch_percent","healthCode","healthCode2","notes","ht2dead_m","torch_percent.1","resprout","stump_diameter_cm","stump_ht_m","presentPostThin","StatusPostThin","samplingTime","Beetles2019","DeadPriorFire"
"8715","CPFMP","caples","2013-2018","92","prefire",NA,"448","LIVE","ABCO","30.8","19.7","8.7",NA,"CO","7.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"8716","CPFMP","Valentine","2020","VR22","prefire",NA,"348","LIVE","ABCO","30.8","11.8","3.1",NA,"in","3.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","L",NA,NA,NA
"8717","CPFMP","Valentine","2020","VR22N","prefire",NA,"1079","LIVE","PICO","30.8","33.5",NA,NA,"-",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","L",NA,NA,NA
"8718","CPFMP","calaveras","2022","BigTrees04","postfire","immediate",NA,"LIVE","CADE","30.8","17","16.5",NA,NA,NA,"3","na","17","98","13","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8719","CPFMP","frenchmeadows","2019","FM019-16","prefire",NA,"2224","LIVE","ABCO","30.8","13","1",NA,"3",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.5",NA,NA,NA,NA,NA,NA
"8720","CPFMP","bearmountain","2021","BM10","postfire","2yr","4316","LIVE","CADE","30.8","12.3","8.2",NA,NA,"2.2","4","na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8721","CPFMP","Modoc","2020","MOD025","prefire",NA,"2345","LIVE","PIPO","30.8",NA,"2",NA,NA,"5",NA,"na",NA,"0",NA,"0",NA,NA,NA,8,"0",NA,NA,NA,NA,NA,NA,NA,NA
"8722","CPFMP","slypark","2019","hcp7","prefire",NA,"spi-no tag","LIVE","PIPO","30.8","18","6",NA,"CO","4.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8723","CPFMP","valentine","2021","VR4","prefire",NA,"372","LIVE","POTR","30.8",NA,NA,NA,NA,NA,NA,"na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8724","CPFMP","henrycoe","2021","HCM006","prefire",NA,"4246","LIVE","QUAG","30.8","9.4","1.7",NA,NA,"na",NA,"na",NA,NA,NA,NA,"na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8725","CPFMP","henrycoe","2022","HCM006","postfire","1yr","4246","LIVE","QUAG","30.8","9.4","2",NA,NA,NA,"na","na","na","0","na","0","na","na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8726","CPFMP","slypark","2019","spi11","prefire",NA,"spi-no tag","LIVE","QUKE","30.8","18","7",NA,"IN","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8727","CPFMP","caples","2020","33","postfire","1yr","202","LIVE","PICO","30.8","23.8","15.2",35,"IN",NA,"0",NA,NA,NA,NA,NA,NA,NA,"7.0 to dead",NA,NA,NA,NA,NA,NA,NA,2,NA,"N"
"8728","CPFMP","BurtonSP","2020","burton41","postfire","1yr","na","DEAD","ABMA","30.9","13.2",NA,0,NA,NA,NA,"1","3",NA,NA,NA,"na","na",NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8729","CPFMP","modoc","2022","MOD021","postfire","1yr","na","DEAD","PILA","30.9","18.8","na",NA,NA,NA,"2","1","5","30","1.5","5","na","na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8730","CPFMP","Modoc","2020","MOD021","prefire",NA,"na","DEAD","PILA","30.9","18.8",NA,NA,NA,NA,"1.4","1","5","30","1.5","5",NA,NA,NA,0.5,"5",NA,NA,NA,NA,NA,NA,NA,NA
