"","site","plotid","pre_post_fire","year","diamclass","n_trees_diamclass","n_trees_diamclass_acre","n_trees_diamclass_ha"
"3134","springsfire","springs06","prefire","2019","[20-40]",0,0,0
"3135","springsfire","springs06","prefire","2019","[<20]",1,10,24.7105
"3136","springsfire","springs06","prefire","2019","[40-60]",0,0,0
"3137","springsfire","springs06","prefire","2019","[>100]",0,0,0
"3138","springsfire","springs06","prefire","2019","[80-100]",0,0,0
"3139","springsfire","springs07","postfire","2020","[60-80]",0,0,0
"3140","springsfire","springs07","postfire","2020","[20-40]",0,0,0
"3141","springsfire","springs07","postfire","2020","[<20]",1,10,24.7105
"3142","springsfire","springs07","postfire","2020","[40-60]",0,0,0
"3143","springsfire","springs07","postfire","2020","[>100]",0,0,0
"3144","springsfire","springs07","postfire","2020","[80-100]",0,0,0
"3145","springsfire","springs07","prefire","2019","[60-80]",0,0,0
"3146","springsfire","springs07","prefire","2019","[20-40]",0,0,0
"3147","springsfire","springs07","prefire","2019","[<20]",1,10,24.7105
"3148","springsfire","springs07","prefire","2019","[40-60]",0,0,0
"3149","springsfire","springs07","prefire","2019","[>100]",0,0,0
"3150","springsfire","springs07","prefire","2019","[80-100]",0,0,0
"3151","springsfire","springs08","postfire","2020","[60-80]",0,0,0
"3152","springsfire","springs08","postfire","2020","[20-40]",1,10,24.7105
"3153","springsfire","springs08","postfire","2020","[<20]",4,40,98.842
"3154","springsfire","springs08","postfire","2020","[40-60]",0,0,0
"3155","springsfire","springs08","postfire","2020","[>100]",0,0,0
"3156","springsfire","springs08","postfire","2020","[80-100]",0,0,0
"3157","springsfire","springs09","postfire","2020","[60-80]",1,10,24.7105
"3158","springsfire","springs09","postfire","2020","[20-40]",1,10,24.7105
"3159","springsfire","springs09","postfire","2020","[<20]",2,20,49.421
"3160","springsfire","springs09","postfire","2020","[40-60]",0,0,0
"3161","springsfire","springs09","postfire","2020","[>100]",0,0,0
"3162","springsfire","springs09","postfire","2020","[80-100]",0,0,0
"3163","springsfire","springs10","postfire","2020","[60-80]",0,0,0
"3164","springsfire","springs10","postfire","2020","[20-40]",0,0,0
"3165","springsfire","springs10","postfire","2020","[<20]",1,10,24.7105
"3166","springsfire","springs10","postfire","2020","[40-60]",0,0,0
"3167","springsfire","springs10","postfire","2020","[>100]",0,0,0
"3168","springsfire","springs10","postfire","2020","[80-100]",0,0,0
"3169","springsfire","springs15","postfire","2020","[60-80]",0,0,0
"3170","springsfire","springs15","postfire","2020","[20-40]",0,0,0
"3171","springsfire","springs15","postfire","2020","[<20]",1,10,24.7105
"3172","springsfire","springs15","postfire","2020","[40-60]",0,0,0
"3173","springsfire","springs15","postfire","2020","[>100]",0,0,0
"3174","springsfire","springs15","postfire","2020","[80-100]",0,0,0
"3175","springsfire","springs20","postfire","2020","[60-80]",0,0,0
"3176","springsfire","springs20","postfire","2020","[20-40]",0,0,0
"3177","springsfire","springs20","postfire","2020","[<20]",1,10,24.7105
"3178","springsfire","springs20","postfire","2020","[40-60]",0,0,0
"3179","springsfire","springs20","postfire","2020","[>100]",0,0,0
"3180","springsfire","springs20","postfire","2020","[80-100]",0,0,0
"3181","springsfire","springs24","postfire","2020","[60-80]",0,0,0
"3182","springsfire","springs24","postfire","2020","[20-40]",1,10,24.7105
"3183","springsfire","springs24","postfire","2020","[<20]",0,0,0
"3184","springsfire","springs24","postfire","2020","[40-60]",0,0,0
"3185","springsfire","springs24","postfire","2020","[>100]",0,0,0
"3186","springsfire","springs24","postfire","2020","[80-100]",0,0,0
"3187","springsfire","springs26","postfire","2020","[60-80]",0,0,0
"3188","springsfire","springs26","postfire","2020","[20-40]",3,30,74.1315
"3189","springsfire","springs26","postfire","2020","[<20]",13,130,321.2365
"3190","springsfire","springs26","postfire","2020","[40-60]",0,0,0
"3191","springsfire","springs26","postfire","2020","[>100]",0,0,0
"3192","springsfire","springs26","postfire","2020","[80-100]",0,0,0
"3193","springsfire","springs26","prefire","2019","[60-80]",0,0,0
"3194","springsfire","springs26","prefire","2019","[20-40]",0,0,0
"3195","springsfire","springs26","prefire","2019","[<20]",1,10,24.7105
"3196","springsfire","springs26","prefire","2019","[40-60]",0,0,0
"3197","springsfire","springs26","prefire","2019","[>100]",0,0,0
"3198","springsfire","springs26","prefire","2019","[80-100]",1,10,24.7105
"3199","springsfire","springs27","postfire","2020","[60-80]",0,0,0
"3200","springsfire","springs27","postfire","2020","[20-40]",1,10,24.7105
"3201","springsfire","springs27","postfire","2020","[<20]",2,20,49.421
"3202","springsfire","springs27","postfire","2020","[40-60]",0,0,0
"3203","springsfire","springs27","postfire","2020","[>100]",0,0,0
"3204","springsfire","springs27","postfire","2020","[80-100]",0,0,0
