site,year,plotid,observer,pre_post_fire,postTime,species,status,lifeform,layer_code,percent,notes
BurtonSP,2019,burton13,nr,prefire,,ceco,live,SH,SM,tr,
BurtonSP,2019,burton14,nr,prefire,,ceco,live,SH,SL,tr,
BurtonSP,2019,burton14,nr,prefire,,ceco,live,SH,SM,tr,
BurtonSP,2019,burton16,nr,prefire,,ceco,live,SH,SL,4,
BurtonSP,2019,burton16,nr,prefire,,ceco,live,SH,SM,3,
BurtonSP,2019,burton19,nr,prefire,,ceco,live,SH,SL,tr,
BurtonSP,2019,burton19,nr,prefire,,ceco,live,SH,SM,tr,
BurtonSP,2019,burton2,ag,prefire,,ceco,live,SH,SL,0.5,
BurtonSP,2019,burton2,ag,prefire,,ceco,live,SH,SM,0.5,
BurtonSP,2019,burton22,nr,prefire,,ceco,live,SH,SL,0.5,
BurtonSP,2019,burton22,nr,prefire,,ceco,live,SH,SM,tr,
BurtonSP,2019,burton23,nr,prefire,,ceco,live,SH,SL,tr,
BurtonSP,2019,burton23,nr,prefire,,ceco,live,SH,SM,tr,
BurtonSP,2019,burton3,ag,prefire,,ceco,live,SH,SL,1,
BurtonSP,2019,burton3,ag,prefire,,ceco,live,SH,SM,1,
BurtonSP,2019,burton4,nr,prefire,,ceco,live,SH,SL,2,
BurtonSP,2019,burton4,nr,prefire,,ceco,live,SH,SM,1.5,
BurtonSP,2019,burton4,nr,prefire,,ceco,dead,SH,SL,tr,
BurtonSP,2019,burton5,ag,prefire,,ceco,live,SH,SL,9,"mostly branches , resprouting"
BurtonSP,2019,burton5,ag,prefire,,ceco,live,SH,SM,9,
BurtonSP,2019,burton5,ag,prefire,,ceco,dead,SH,SL,tr,
BurtonSP,2019,burton5,ag,prefire,,ceco,dead,SH,SM,tr,
BurtonSP,2019,burton6,ag,prefire,,ceco,live,SH,SL,0.5,
BurtonSP,2019,burton6,ag,prefire,,ceco,live,SH,SM,tr,
BurtonSP,2019,burton6,ag,prefire,,ceco,dead,SH,SL,tr,
BurtonSP,2019,burton7,nr,prefire,,ceco,live,SH,SL,13,
BurtonSP,2019,burton7,nr,prefire,,ceco,live,SH,SM,8,
BurtonSP,2019,burton8,nr,prefire,,ceco,live,SH,SL,55,
BurtonSP,2019,burton8,nr,prefire,,ceco,live,SH,SM,50,
BurtonSP,2019,burton9,nr,prefire,,ceco,live,SH,SL,5,
BurtonSP,2019,burton9,nr,prefire,,ceco,live,SH,SM,3,
BurtonSP,2019,burton20,nr,prefire,,cepr,live,SH,SL,,
BurtonSP,2019,burton1,ag,prefire,,cepr,live,SH,SL,31,
BurtonSP,2019,burton10,nr,prefire,,cepr,live,SH,SL,,
BurtonSP,2019,burton12,nr,prefire,,cepr,live,SH,SL,15,
BurtonSP,2019,burton14,nr,prefire,,cepr,live,SH,SL,2,
BurtonSP,2019,burton15,nr,prefire,,cepr,live,SH,SL,tr,
