site,year,pre_post_fire,plotid,obs,species,status,lifeform,layer_code,percent,notes,,,
frenchmeadows,2020,prefire,FM048,vs,ceanothus,live,SH,na,1,M,,,
frenchmeadows,2020,prefire,FM049,vs,ceanothus,live,SH,na,1,L,,,
frenchmeadows,2020,prefire,FM049,vs,ceanothus,live,SH,na,2,M,,,
frenchmeadows,2020,prefire,FM049,vs,ceanothus,live,SH,na,1,H,,,
frenchmeadows,2020,prefire,FM054,vs,ceanothus,live,SH,na,3,L,,,
frenchmeadows,2020,prefire,FM054,vs,ceanothus,live,SH,na,3,M,,,
frenchmeadows,2020,prefire,FM068,km,ceanothus,live,SH,na,25,,,,
frenchmeadows,2020,prefire,FM064,vs,CEAARC,live,SH,na,1,L,Ceanothus arcuatus,,
frenchmeadows,2020,prefire,FM038,vs,CEACOR,live,SH,na,4,L,,,
frenchmeadows,2020,prefire,FM038,vs,CEACOR,live,SH,na,3,M,,,
frenchmeadows,2020,prefire,FM037,vs,CEACOR,live,SH,na,12,L,,,
frenchmeadows,2020,prefire,FM037,vs,CEACOR,live,SH,na,13,M,,,
frenchmeadows,2020,prefire,FM056,vs,CEACOR,live,SH,na,2,L,,,
frenchmeadows,2020,prefire,FM056,vs,CEACOR,live,SH,na,2,M,,,
frenchmeadows,2020,prefire,FM050,vs,CEACOR,live,SH,na,1,L,,,
frenchmeadows,2020,prefire,FM050,vs,CEACOR,live,SH,na,1,M,,,
frenchmeadows,2020,prefire,FM052,vs,CEACOR,live,SH,na,12,L,,,
frenchmeadows,2020,prefire,FM052,vs,CEACOR,live,SH,na,11,M,,,
frenchmeadows,2020,prefire,FM052,vs,CEACOR,live,SH,na,1,H,,,
frenchmeadows,2020,prefire,FM051,vs,CEACOR,live,SH,na,3,L,,,
frenchmeadows,2020,prefire,FM051,vs,CEACOR,live,SH,na,3,M,,,
frenchmeadows,2020,prefire,FM064,vs,CEACOR,live,SH,na,4,L,,,
frenchmeadows,2020,prefire,FM064,vs,CEACOR,live,SH,na,4,M,,,
frenchmeadows,2020,prefire,FM064,vs,CEACOR,dead,SH,na,tr,M,,,
frenchmeadows,2020,prefire,FM040,km,CELE,live,SH,na,20,,,,
frenchmeadows,2020,prefire,FM040,km,CELE,dead,SH,na,0.5,,,,
frenchmeadows,2020,prefire,FM039,km,CELE,live,SH,na,20,,,,
