site,year,pre_post_fire,plotid,obs,species,status,lifeform,layer_code,percent,notes,
calaveras,2020,prefire,BigTrees07,vs,CADE,live,TR,TOV,tr,,
calaveras,2020,prefire,BigTrees15,vs,CADE,live,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees15,vs,CADE,live,TR,TSA,tr,,
calaveras,2020,prefire,BigTrees15,vs,CADE,live,TR,TOV,11,,
calaveras,2020,prefire,BigTrees33,vs,CADE,live,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees33,vs,CADE,live,TR,TSA,3,,
calaveras,2020,prefire,BigTrees33,vs,CADE,live,TR,TOV,2,,
calaveras,2020,prefire,BigTrees33,vs,CADE,live,TR,TOV,tr,,
calaveras,2020,prefire,BigTrees11,vs,calochortus,live,FB,na,tr,,
calaveras,2020,prefire,BigTrees04,km,calochortus,live,FB,na,tr,"forb5, .3m tall, 3 large seed pods, rattles, pics in km phone and in press",
calaveras,2020,prefire,BigTrees04,km,CAMPRE,live,FB,na,tr,"forb3, campanula prenanthoides",
calaveras,2020,prefire,BigTrees10,vs,CAMPRE,live,FB,na,tr,,
calaveras,2020,prefire,BigTrees07,vs,CAMPRE,live,FB,na,tr,,
calaveras,2020,prefire,BigTrees28,vs,carex,live,GR,na,tr,L,
calaveras,2020,prefire,BigTrees17,vs,carex,live,GR,na,tr,,
calaveras,2020,prefire,BigTrees27,km,carex2,live,GR,na,tr,,
calaveras,2020,prefire,BigTrees29,km,carex2,live,GR,na,tr,,
calaveras,2020,prefire,BigTrees25,km,ceco,live,SH,na,0.5,,
calaveras,2020,prefire,BigTrees09,vs,cein,live,SH,na,tr,,
calaveras,2020,prefire,BigTrees09,vs,cein,live,SH,na,2,M,
calaveras,2020,prefire,BigTrees02,vs,cein,live,SH,na,1,M,
calaveras,2020,prefire,BigTrees03,vs,cein,live,SH,na,tr,,
calaveras,2020,prefire,BigTrees03,vs,cein,live,SH,na,1,M,
calaveras,2020,prefire,BigTrees03,vs,cein,live,SH,na,tr,H,
calaveras,2020,prefire,BigTrees31,vs,cein,live,SH,na,tr,L,
calaveras,2020,prefire,BigTrees31,vs,cein,live,SH,na,tr,M,
calaveras,2020,prefire,BigTrees13,vs,cein,live,SH,na,2,S,
calaveras,2020,prefire,BigTrees13,vs,cein,live,SH,na,5,M,
calaveras,2020,prefire,BigTrees13,vs,cein,live,SH,na,5,H,
calaveras,2020,prefire,BigTrees11,vs,cein,live,SH,na,6,L,
calaveras,2020,prefire,BigTrees11,vs,cein,live,SH,na,12,M,
calaveras,2020,prefire,BigTrees11,vs,cein,live,SH,na,10,H,
calaveras,2020,prefire,BigTrees12,vs,cein,live,SH,na,2,L,
calaveras,2020,prefire,BigTrees12,vs,cein,live,SH,na,2,M,
calaveras,2020,prefire,BigTrees12,vs,cein,live,SH,na,1,H,
calaveras,2020,prefire,BigTrees10,vs,cein,live,SH,na,2,L,
calaveras,2020,prefire,BigTrees10,vs,cein,live,SH,na,1,M,
calaveras,2020,prefire,BigTrees10,vs,cein,live,SH,na,4,H,
calaveras,2020,prefire,BigTrees07,vs,cein,live,SH,na,tr,L,
calaveras,2020,prefire,BigTrees07,vs,cein,live,SH,na,6,M,
calaveras,2020,prefire,BigTrees07,vs,cein,live,SH,na,1,H,
calaveras,2020,prefire,BigTrees07,vs,cein,dead,SH,na,1,M,
calaveras,2020,prefire,BigTrees15,vs,cein,live,SH,na,tr,L,
calaveras,2020,prefire,BigTrees15,vs,cein,live,SH,na,tr,M,
calaveras,2020,prefire,BigTrees15,vs,cein,live,SH,na,tr,H,
calaveras,2020,prefire,BigTrees33,vs,cein,live,SH,na,7,L,
calaveras,2020,prefire,BigTrees33,vs,cein,live,SH,na,8,M,
calaveras,2020,prefire,BigTrees33,vs,cein,live,SH,na,6,H,
calaveras,2020,prefire,BigTrees06,km,cein,live,SH,na,25,,
calaveras,2020,prefire,BigTrees04,km,cein,live,SH,na,20,ceaonothus integerimus,
calaveras,2020,prefire,BigTrees35,km,CELE,live,SH,na,tr,,
calaveras,2020,prefire,BigTrees27,km,CEVE,live,SH,na,1,,
calaveras,2020,prefire,BigTrees35,km,CEVE,live,SH,na,11,,
calaveras,2020,prefire,BigTrees32,km,CEVE,live,SH,na,0.5,,
calaveras,2020,prefire,BigTrees14,km,CEVE,live,SH,na,4,,
calaveras,2020,prefire,BigTrees05,km,CEVE,live,SH,na,25,gooobl and PYPI just outside of macroplot,
calaveras,2020,prefire,BigTrees36,ag,chfo,live,SH,na,tr,,
calaveras,2020,prefire,BigTrees29,km,chfo,live,SH,na,tr,,
calaveras,2020,prefire,BigTrees32,km,chfo,live,SH,na,tr,,
calaveras,2020,prefire,BigTrees04,km,chfo,live,SH,na,tr,,
calaveras,2020,prefire,BigTrees05,km,chfo,live,SH,na,2,,
calaveras,2020,prefire,BigTrees05,km,chfo,dead,SH,na,tr,,
calaveras,2020,prefire,BigTrees31,vs,clarkia,live,FB,na,tr,,
calaveras,2020,prefire,BigTrees31,vs,clarkia2,live,FB,na,tr,clarkia2,
calaveras,2020,prefire,BigTrees10,vs,clarkia2,live,FB,na,tr,,
calaveras,2020,prefire,BigTrees36,ag,COCO,live,SH,na,tr,,
calaveras,2020,prefire,BigTrees27,km,COCO,live,SH,na,tr,,
calaveras,2020,prefire,BigTrees29,km,COCO,live,SH,na,tr,,
calaveras,2020,prefire,BigTrees01,km,COCO,live,SH,na,25,,
calaveras,2020,prefire,BigTrees35,km,COCO,live,SH,na,8,,
calaveras,2020,prefire,BigTrees32,km,COCO,live,SH,na,5,,
calaveras,2020,prefire,BigTrees34,km,COCO,live,SH,na,3,,
calaveras,2020,prefire,BigTrees20,vs,coco,live,SH,na,2,L,
calaveras,2020,prefire,BigTrees20,vs,coco,live,SH,na,8,M,
calaveras,2020,prefire,BigTrees20,vs,coco,live,SH,na,1,H ,
calaveras,2020,prefire,BigTrees28,vs,coco,live,SH,na,tr,L,
calaveras,2020,prefire,BigTrees28,vs,coco,live,SH,na,tr,M,
calaveras,2020,prefire,BigTrees17,vs,coco,live,SH,na,3,L,
calaveras,2020,prefire,BigTrees17,vs,coco,live,SH,na,tr,M,
calaveras,2020,prefire,BigTrees13,vs,coco,live,SH,na,tr,S,
calaveras,2020,prefire,BigTrees13,vs,coco,live,SH,na,tr,M,
calaveras,2020,prefire,BigTrees11,vs,coco,live,SH,na,tr,,
calaveras,2020,prefire,BigTrees10,vs,coco,live,SH,na,1,L,
calaveras,2020,prefire,BigTrees10,vs,coco,live,SH,na,tr,M,
