site,plotid,pre_post_fire,postTime,obs,year,species,status,lifeform,layer_code,percent,notes,collected,pic
Bouverie,BOUV008,prefire,,km,2021,hetarb,live,TR,TSA,0.75,,,
Bouverie,BOUV009,prefire,,km,2021,hetarb,live,TR,TSE,5,,,
Bouverie,BOUV009,prefire,,km,2021,hetarb,live,TR,TSA,3,,,
Bouverie,BOUV010,prefire,,km,2021,hetarb,live,TR,TSE,0.25,,,
Bouverie,BOUV010,prefire,,km,2021,hetarb,live,TR,TSA,0.25,,,
Bouverie,BOUV011,prefire,,km,2021,hetarb,live,TR,TSE,0.5,,,
Bouverie,BOUV011,prefire,,km,2021,hetarb,live,TR,TSA,1,,,
Bouverie,BOUV012,prefire,,km,2021,hetarb,live,TR,TSE,3,,,
Bouverie,BOUV012,prefire,,km,2021,hetarb,live,TR,TSA,1.75,,,
RioLindo,RIO001,prefire,,km,2021,hetarb,live,TR,TSE,tr,,,
RioLindo,RIO001,prefire,,km,2021,hetarb,live,TR,TSA,2,,,
RioLindo,RIO003,prefire,,km,2021,hetarb,live,TR,TSE,0.5,,,
RioLindo,RIO003,prefire,,km,2021,hetarb,live,TR,TSA,1,,,
RioLindo,RIO004,prefire,,km,2021,hetarb,live,TR,TSE,tr,,,
RioLindo,RIO004,prefire,,km,2021,hetarb,live,TR,TSA,0.5,,,
RioLindo,RIO007,prefire,,km,2021,hetarb,live,TR,TSE,tr,,,
RioLindo,RIO007,prefire,,km,2021,hetarb,live,TR,TSA,0.75,,,
RioLindo,RIO008,prefire,,km,2021,hetarb,live,TR,TOV,2,heteromeles arbutifolia,,
Bouverie,BOUV010,prefire,,km,2021,holdis,live,FB,,0.75,holodiscus discolor,,
RioLindo,RIO007,prefire,,km,2021,horcalela,live,FB,,tr,horkelia californica var. elata,,
RioLindo,RIO008,prefire,,km,2021,horcalela,live,FB,,tr,,,
RioLindo,RIO009,prefire,,km,2021,horcalela,live,FB,,tr,,,
RioLindo,RIO003,prefire,,km,2021,hypper,live,FB,,tr,,,
RioLindo,RIO006,prefire,,km,2021,hypper,live,FB,,0.5,,,
RioLindo,RIO008,prefire,,km,2021,hypper,live,FB,,tr,,,
Bouverie,BOUV004,prefire,,km,2021,iris,live,FB,,0.5,,,
Bouverie,BOUV005,prefire,,km,2021,iris,live,FB,,0.5,,,
Bouverie,BOUV006,prefire,,km,2021,iris,live,FB,,0.25,,,
Bouverie,BOUV009,prefire,,km,2021,iris,live,FB,,tr,,,
Bouverie,BOUV010,prefire,,km,2021,iris,live,FB,,tr,,,
Bouverie,BOUV001,prefire,,km,2021,iris,live,FB,,tr,,,
Bouverie,BOUV003,prefire,,km,2021,iris,live,FB,,0.25,,,
Bouverie,BOUV008,prefire,,km,2021,iris,live,FB,,tr,,,
Bouverie,BOUV007,prefire,,km,2021,toxdiv,live,FB,,tr,,,
Bouverie,BOUV011,prefire,,km,2021,toxdiv,live,FB,,tr,,,x
Bouverie,BOUV001,prefire,,km,2021,lacser,live,FB,,tr,,,
Bouverie,BOUV002,prefire,,km,2021,latnev,live,FB,,tr,,,
Bouverie,BOUV001,prefire,,km,2021,latves,live,FB,,1,,,
Bouverie,BOUV003,prefire,,km,2021,latves,live,FB,,0.5,,,
Bouverie,BOUV004,prefire,,km,2021,latves,live,FB,,1.5,,,
Bouverie,BOUV005,prefire,,km,2021,latves,live,FB,,1,,,
Bouverie,BOUV006,prefire,,km,2021,latves,live,FB,,3,,,
Bouverie,BOUV007,prefire,,km,2021,latves,live,FB,,tr,,,
Bouverie,BOUV008,prefire,,km,2021,latves,live,FB,,1,,,
Bouverie,BOUV010,prefire,,km,2021,latves,live,FB,,1,,,
Bouverie,BOUV011,prefire,,km,2021,latves,live,FB,,0.25,,,
Bouverie,BOUV012,prefire,,km,2021,latves,live,FB,,0.5,,,
RioLindo,RIO002,prefire,,km,2021,latves,live,FB,,0.5,,,
RioLindo,RIO004,prefire,,km,2021,latves,live,FB,,tr,,,
RioLindo,RIO005,prefire,,km,2021,latves,live,FB,,0.25,,,
RioLindo,RIO006,prefire,,km,2021,latves,live,FB,,tr,,,
RioLindo,RIO007,prefire,,km,2021,latves,live,FB,,tr,,,
