site,year,pre_post_fire,postTime,plotid,obs,species,status,lifeform,layer_code,percent,notes
bearmountain,2019,prefire,,BM18,nr,unkWforb,live,FB,,tr,
bearmountain,2019,prefire,,BM18,nr,unkWforb,live,FB,,tr,
bearmountain,2019,prefire,,BM18,nr,unkwhiteflw,live,FB,,tr,
bearmountain,2019,prefire,,BM19,nr,4forb,live,FB,,tr,
bearmountain,2019,prefire,,BM19,nr,arcvis,live,SH,SL,27.5,
bearmountain,2019,prefire,,BM19,nr,arcvis,live,SH,SM,27,
bearmountain,2019,prefire,,BM19,nr,aster2,live,FB,,tr,
bearmountain,2019,prefire,,BM19,nr,broele,live,FB,,tr,
bearmountain,2019,prefire,,BM19,nr,cade,live,TR,TSE,0.5,
bearmountain,2019,prefire,,BM19,nr,cade,live,TR,TOV,10,
bearmountain,2019,prefire,,BM19,nr,chafol,live,SH,SL,17.5,
bearmountain,2019,prefire,,BM19,nr,chafol,live,SH,SM,15.5,
bearmountain,2019,prefire,,BM19,nr,droopygrass,live,GR,,tr,
bearmountain,2019,prefire,,BM19,nr,Fgrass,live,GR,,tr,
bearmountain,2019,prefire,,BM19,nr,gayophytum,live,FB,,tr,
bearmountain,2019,prefire,,BM19,nr,grassspecies,live,GR,,tr,
bearmountain,2019,prefire,,BM19,nr,hairstrand,live,FB,,tr,
bearmountain,2019,prefire,,BM19,nr,iris,live,FB,,tr,
bearmountain,2019,prefire,,BM19,nr,pipo,live,TR,TSE,1,
bearmountain,2019,prefire,,BM19,nr,pipo,live,TR,TOV,5,
bearmountain,2019,prefire,,BM19,nr,pipo,dead,TR,TOV,3,
bearmountain,2019,prefire,,BM19,nr,quke,live,TR,TOV,3,
bearmountain,2019,prefire,,BM19,nr,salsco,live,TR,TSE,tr,
bearmountain,2019,prefire,,BM19,nr,smallFgrass,live,GR,,tr,
bearmountain,2019,prefire,,BM19,nr,tallflower,live,FB,,tr,
bearmountain,2019,prefire,,BM19,nr,tinyfb,live,FB,,tr,
bearmountain,2019,prefire,,BM19,nr,tinyfb2,live,FB,,tr,
bearmountain,2019,prefire,,BM19,nr,unkfuzzy,live,FB,,tr,
bearmountain,2019,prefire,,BM2,nr,4forb,live,FB,,tr,
bearmountain,2019,prefire,,BM2,nr,arcvis,live,SH,SL,tr,
bearmountain,2019,prefire,,BM2,nr,arcvis,live,SH,SM,tr,
bearmountain,2019,prefire,,BM2,nr,cade,live,TR,TOV,,
bearmountain,2019,prefire,,BM2,nr,cade,dead,TR,TSE,,
bearmountain,2019,prefire,,BM2,nr,chafol,live,SH,SL,93,
bearmountain,2019,prefire,,BM2,nr,droopygrass,live,GR,,tr,
bearmountain,2019,prefire,,BM2,nr,drypods,live,FB,,tr,
bearmountain,2019,prefire,,BM2,nr,Fgrass,live,GR,,tr,
bearmountain,2019,prefire,,BM2,nr,hairstrand,live,GR,,tr,
bearmountain,2019,prefire,,BM2,nr,iris,live,FB,,tr,
bearmountain,2019,prefire,,BM2,nr,likeelel,live,GR,,tr,
bearmountain,2019,prefire,,BM2,nr,longflower,live,FB,,tr,
bearmountain,2019,prefire,,BM2,nr,pipo,live,TR,TOV,,
bearmountain,2019,prefire,,BM2,nr,pipo,dead,TR,TOV,,
bearmountain,2019,prefire,,BM2,nr,puffspike,live,FB,,tr,
bearmountain,2019,prefire,,BM2,nr,quke,dead,TR,TOV,,
bearmountain,2019,prefire,,BM2,nr,quke,live,TR,TSE,,
bearmountain,2019,prefire,,BM2,nr,smalls,live,FB,,tr,
bearmountain,2019,prefire,,BM2,nr,stephanomeria,live,FB,,tr,
bearmountain,2019,prefire,,BM2,nr,tallgrass1,live,GR,,tr,
bearmountain,2019,prefire,,BM2,nr,tighttopgrass,live,FB,,tr,
bearmountain,2019,prefire,,BM2,nr,unkflw1,live,FB,,tr,
bearmountain,2019,prefire,,BM2,nr,unkflw2,live,FB,,tr,
bearmountain,2019,prefire,,BM2,nr,unkflwpurple,live,FB,,tr,
bearmountain,2019,prefire,,BM2,nr,unkWforb,live,FB,,tr,
bearmountain,2019,prefire,,BM2,nr,wavyblade,live,FB,,tr,
bearmountain,2019,prefire,,BM2,nr,waxyforb,live,FB,,tr,
bearmountain,2019,prefire,,BM20,nr,4forb,live,FB,,tr,
bearmountain,2019,prefire,,BM20,nr,arcvis,live,SH,SL,1,
bearmountain,2019,prefire,,BM20,nr,arcvis,live,SH,SM,1,
bearmountain,2019,prefire,,BM20,nr,arcvis,dead,SH,SL,tr,
bearmountain,2019,prefire,,BM20,nr,arcvis,dead,SH,SM,tr,
bearmountain,2019,prefire,,BM20,nr,aster2,live,FB,,tr,
bearmountain,2019,prefire,,BM20,nr,cade,live,TR,TOV,5,
bearmountain,2019,prefire,,BM20,nr,cade,live,TR,TSE,tr,
bearmountain,2019,prefire,,BM20,nr,chafol,live,SH,SL,80,
bearmountain,2019,prefire,,BM20,nr,chafol,live,SH,SM,70,
bearmountain,2019,prefire,,BM20,nr,gayophytum,live,FB,,tr,
bearmountain,2019,prefire,,BM20,nr,grass2,live,GR,,tr,
