site,plotid,year,pre_post_fire,postTime,plot_id_time,azimuth,duff_depth_cm,litter_depth_cm,fuel_depth_cm,mass_1hr,mass_10hr,mass_100hr,mass_cwd_sound,mass_cwd_rotten,total_fine,total_cwd,total_fuel,site_plotid_time
bearmountain,BM1,2021,postfire,2yr,BM1 postfire 2yr,270,0,3.55,3.15,0.00588367690332774,0.225216241730029,0,0,0,0.231099918633356,0,0.231099918633356,bearmountain BM1 postfire 2yr
bearmountain,BM10,2019,postfire,immediate,BM10 postfire immediate,0,0.025,2.25,,0,0,0.896189197195616,0,0.365084718325059,0.896189197195616,0.147807578269255,1.04399677546487,bearmountain BM10 postfire immediate
bearmountain,BM10,2019,postfire,immediate,BM10 postfire immediate,180,0,0.775,,0,0,0.448094598597808,0,0,0.448094598597808,0,0.448094598597808,bearmountain BM10 postfire immediate
bearmountain,BM10,2019,postfire,immediate,BM10 postfire immediate,270,0.275,1,,0,0,0,6.04093513921865,0,0,2.4457227284286,2.4457227284286,bearmountain BM10 postfire immediate
bearmountain,BM10,2019,postfire,immediate,BM10 postfire immediate,90,0,0.95,,0.0117673538066555,0,0.448094598597808,0,0,0.459861952404463,0,0.459861952404463,bearmountain BM10 postfire immediate
bearmountain,BM10,2019,prefire,"",BM10 prefire NA,0,0.05,2.25,,0,0.112608120865014,0,0.536674535937837,0,0.112608120865014,0.217277140055805,0.329885260920819,bearmountain BM10 prefire 
bearmountain,BM10,2019,prefire,"",BM10 prefire NA,180,1,2,,0,0,0,0.954088063889489,0,0,0.386270471210319,0.386270471210319,bearmountain BM10 prefire 
bearmountain,BM10,2019,prefire,"",BM10 prefire NA,270,0,2.5,,0.0117673538066555,0,0,0,0,0.0117673538066555,0,0.0117673538066555,bearmountain BM10 prefire 
bearmountain,BM10,2019,prefire,"",BM10 prefire NA,90,0.5,0.5,,0,0.112608120865014,0.448094598597808,4.86779624433413,0,0.560702719462822,1.97076771025673,2.53147042971955,bearmountain BM10 prefire 
bearmountain,BM10,2021,postfire,2yr,BM10 postfire 2yr,90,0,2.05,2.25,0.0117673538066555,0.112608120865014,0.448094598597808,0,0,0.572470073269478,0,0.572470073269478,bearmountain BM10 postfire 2yr
