site,plotid,year,pre_post_fire,postTime,fuelType,mass_mgha
bearmountain,bm13,2019,prefire,"",mass_cwd_sound,8.99237350856463
bearmountain,bm13,2019,prefire,"",mass_cwd_rotten,0
bearmountain,bm13,2019,prefire,"",total_fine,0.393190101853918
bearmountain,bm13,2019,prefire,"",total_cwd,8.99237350856463
bearmountain,bm13,2019,prefire,"",total_fuel,21.0080197335592
bearmountain,bm13,2019,prefire,"",duff_load,2.41961281457364
bearmountain,bm13,2019,prefire,"",litter_load,9.20284330856703
bearmountain,bm13,2019,prefire,"",litter_depth_cm,2.875
bearmountain,bm13,2019,prefire,"",duff_depth_cm,0.3875
bearmountain,bm13,2021,postfire,2yr,mass_1hr,0.102928025333614
bearmountain,bm13,2021,postfire,2yr,mass_10hr,0.876960229387758
bearmountain,bm13,2021,postfire,2yr,mass_100hr,1.48805611978741
