site,plotid,pre_post_fire,postTime,fuelType,mass_tonAcre
henrycoe,HENRY003,prefire,NA,total_cwd,2.78164131637168
henrycoe,HENRY003,prefire,NA,total_fuel,3.99086150978632
henrycoe,HENRY003,prefire,NA,litter_depth_cm,6.125
henrycoe,HENRY003,prefire,NA,duff_depth_cm,0.775
henrycoe,HENRY003,prefire,NA,fuel_depth_cm,12.375
henrycoe,HENRY004,prefire,NA,mass_1hr,0.0944624326829268
henrycoe,HENRY004,prefire,NA,mass_10hr,0.625819631707317
henrycoe,HENRY004,prefire,NA,mass_100hr,0.276698414634146
henrycoe,HENRY004,prefire,NA,total_fine,0.99698047902439
henrycoe,HENRY004,prefire,NA,total_cwd,0
henrycoe,HENRY004,prefire,NA,total_fuel,0.99698047902439
henrycoe,HENRY004,prefire,NA,litter_depth_cm,5.175
henrycoe,HENRY004,prefire,NA,duff_depth_cm,0.525
henrycoe,HENRY004,prefire,NA,fuel_depth_cm,11.0375
henrycoe,HENRY005,prefire,NA,mass_1hr,0.145326819512195
henrycoe,HENRY005,prefire,NA,mass_10hr,0.834426175609756
henrycoe,HENRY005,prefire,NA,mass_100hr,0.276698414634146
henrycoe,HENRY005,prefire,NA,total_fine,1.2564514097561
henrycoe,HENRY005,prefire,NA,total_cwd,0
henrycoe,HENRY005,prefire,NA,total_fuel,1.2564514097561
henrycoe,HENRY005,prefire,NA,litter_depth_cm,5.75
henrycoe,HENRY005,prefire,NA,duff_depth_cm,0.525
henrycoe,HENRY005,prefire,NA,fuel_depth_cm,9.55
henrycoe,HENRY006,prefire,NA,mass_1hr,0.323352173414634
henrycoe,HENRY006,prefire,NA,mass_10hr,1.9469944097561
henrycoe,HENRY006,prefire,NA,mass_100hr,1.66019048780488
henrycoe,HENRY006,prefire,NA,total_fine,3.93053707097561
henrycoe,HENRY006,prefire,NA,total_cwd,0.26894574249946
henrycoe,HENRY006,prefire,NA,total_fuel,4.19948281347507
henrycoe,HENRY006,prefire,NA,litter_depth_cm,4.05
henrycoe,HENRY006,prefire,NA,duff_depth_cm,2.6
henrycoe,HENRY006,prefire,NA,fuel_depth_cm,6.5
henrycoe,HENRY007,prefire,NA,mass_1hr,0.0399648753658537
henrycoe,HENRY007,prefire,NA,mass_10hr,0.139071029268293
henrycoe,HENRY007,prefire,NA,mass_100hr,0
henrycoe,HENRY007,prefire,NA,total_fine,0.179035904634146
henrycoe,HENRY007,prefire,NA,total_cwd,0.71576075976689
henrycoe,HENRY007,prefire,NA,total_fuel,0.894796664401036
henrycoe,HENRY007,prefire,NA,litter_depth_cm,6.425
henrycoe,HENRY007,prefire,NA,duff_depth_cm,0.65
henrycoe,HENRY007,prefire,NA,fuel_depth_cm,7.625
henrycoe,HENRY008,prefire,NA,mass_1hr,0.0326985343902439
henrycoe,HENRY008,prefire,NA,mass_10hr,0.417213087804878
henrycoe,HENRY008,prefire,NA,mass_100hr,0.276698414634146
henrycoe,HENRY008,prefire,NA,total_fine,0.726610036829268
henrycoe,HENRY008,prefire,NA,total_cwd,0
henrycoe,HENRY008,prefire,NA,total_fuel,0.726610036829268
henrycoe,HENRY008,prefire,NA,litter_depth_cm,3.0125
henrycoe,HENRY008,prefire,NA,duff_depth_cm,0.5875
henrycoe,HENRY008,prefire,NA,fuel_depth_cm,3.7875
henrycoe,HENRY009,prefire,NA,mass_1hr,0.0399648753658537
