site,plotid,year,pre_post_fire,postTime,fuelType,mass_tonsAcre
antelope,ANTELOPE14,2020,prefire,NA,fuel_depth_cm,19.0625
antelope,ANTELOPE15,2020,prefire,NA,mass_1hr,0.010223198097936058
antelope,ANTELOPE15,2020,prefire,NA,mass_10hr,0.17681631930392555
antelope,ANTELOPE15,2020,prefire,NA,mass_100hr,0.41205412383650347
antelope,ANTELOPE15,2020,prefire,NA,mass_cwd_sound,0
antelope,ANTELOPE15,2020,prefire,NA,mass_cwd_rotten,0
antelope,ANTELOPE15,2020,prefire,NA,total_fine,0.5990936412383652
antelope,ANTELOPE15,2020,prefire,NA,total_cwd,0
antelope,ANTELOPE15,2020,prefire,NA,total_fuel,7.088227307264265
antelope,ANTELOPE15,2020,prefire,NA,duff_load,5.277325035916633
antelope,ANTELOPE15,2020,prefire,NA,litter_load,1.2118086301092674
antelope,ANTELOPE15,2020,prefire,NA,litter_depth_cm,1.875
antelope,ANTELOPE15,2020,prefire,NA,duff_depth_cm,1.7125
antelope,ANTELOPE15,2020,prefire,NA,fuel_depth_cm,3.7
antelope,ANTELOPE16,2020,prefire,NA,mass_1hr,0.030669594293808174
antelope,ANTELOPE16,2020,prefire,NA,mass_10hr,0.17681631930392555
antelope,ANTELOPE16,2020,prefire,NA,mass_100hr,0
antelope,ANTELOPE16,2020,prefire,NA,mass_cwd_sound,1.4397857374526808
antelope,ANTELOPE16,2020,prefire,NA,mass_cwd_rotten,0
antelope,ANTELOPE16,2020,prefire,NA,total_fine,0.20748591359773375
antelope,ANTELOPE16,2020,prefire,NA,total_cwd,1.4397857374526808
antelope,ANTELOPE16,2020,prefire,NA,total_fuel,51.521049841560334
antelope,ANTELOPE16,2020,prefire,NA,duff_load,49.26787387545528
antelope,ANTELOPE16,2020,prefire,NA,litter_load,0.6059043150546336
antelope,ANTELOPE16,2020,prefire,NA,litter_depth_cm,0.9375
antelope,ANTELOPE16,2020,prefire,NA,duff_depth_cm,15.9875
antelope,ANTELOPE16,2020,prefire,NA,fuel_depth_cm,13.80625
antelope,ANTELOPE17,2020,prefire,NA,mass_1hr,0.1431247733711048
antelope,ANTELOPE17,2020,prefire,NA,mass_10hr,0.04420407982598139
antelope,ANTELOPE17,2020,prefire,NA,mass_100hr,0.8241082476730069
antelope,ANTELOPE17,2020,prefire,NA,mass_cwd_sound,0
antelope,ANTELOPE17,2020,prefire,NA,mass_cwd_rotten,0
antelope,ANTELOPE17,2020,prefire,NA,total_fine,1.011437100870093
antelope,ANTELOPE17,2020,prefire,NA,total_cwd,0
antelope,ANTELOPE17,2020,prefire,NA,total_fuel,7.430795864022662
antelope,ANTELOPE17,2020,prefire,NA,duff_load,6.04773744991906
antelope,ANTELOPE17,2020,prefire,NA,litter_load,0.37162131323350867
antelope,ANTELOPE17,2020,prefire,NA,litter_depth_cm,0.575
antelope,ANTELOPE17,2020,prefire,NA,duff_depth_cm,1.9625
antelope,ANTELOPE17,2020,prefire,NA,fuel_depth_cm,2.9125
