plotid,fuel_type,mass_ton_acre,PlotType
VR33,total_fuel,6.742109867,MixedConifer
VR33N,mass_1hr,0.105361944,Riparian
VR33N,mass_10hr,0.973497205,Riparian
VR33N,mass_100hr,0.830095244,Riparian
VR33N,mass_cwd_sound,2.061312875,Riparian
VR33N,mass_cwd_rotten,0.260870764,Riparian
VR33N,total_fine,1.908954393,Riparian
VR33N,total_cwd,2.322183639,Riparian
VR33N,total_fuel,4.231138032,Riparian
VR34,mass_1hr,0.061763898,MixedConifer
VR34,mass_10hr,0.90396169,MixedConifer
VR34,mass_100hr,0,MixedConifer
VR34,mass_cwd_sound,7.84988988,MixedConifer
VR34,mass_cwd_rotten,0,MixedConifer
VR34,total_fine,0.965725588,MixedConifer
VR34,total_cwd,7.84988988,MixedConifer
VR34,total_fuel,8.815615468,MixedConifer
VR35,mass_1hr,0.163492672,MixedConifer
VR35,mass_10hr,1.182103749,MixedConifer
VR35,mass_100hr,1.106793659,MixedConifer
VR35,mass_cwd_sound,0,MixedConifer
VR35,mass_cwd_rotten,0,MixedConifer
VR35,total_fine,2.45239008,MixedConifer
VR35,total_cwd,0,MixedConifer
VR35,total_fuel,2.452390079,MixedConifer
VR35N,mass_1hr,0.185291695,MixedConifer
VR35N,mass_10hr,2.433743012,MixedConifer
VR35N,mass_100hr,0.830095244,MixedConifer
VR35N,mass_cwd_sound,0,MixedConifer
VR35N,mass_cwd_rotten,0.000362163,MixedConifer
VR35N,total_fine,3.449129951,MixedConifer
VR35N,total_cwd,0.000362163,MixedConifer
VR35N,total_fuel,3.449492114,MixedConifer
VR3N,mass_1hr,0.242313707,UpperMontane
VR3N,mass_10hr,0.875467447,UpperMontane
VR3N,mass_100hr,3.367399931,UpperMontane
VR3N,mass_cwd_sound,12.32972818,UpperMontane
VR3N,mass_cwd_rotten,1.414700454,UpperMontane
VR3N,total_fine,4.485181085,UpperMontane
VR3N,total_cwd,13.744428634,UpperMontane
VR3N,total_fuel,18.22960972,UpperMontane
VR4,mass_1hr,0.225110621,UpperMontane
VR4,mass_10hr,0.641128102,UpperMontane
VR4,mass_100hr,0.276698415,UpperMontane
VR4,mass_cwd_sound,0.127511668,UpperMontane
VR4,mass_cwd_rotten,3.054768225,UpperMontane
VR4,total_fine,1.142937138,UpperMontane
VR4,total_cwd,3.182279893,UpperMontane
VR4,total_fuel,4.32521703,UpperMontane
VR40,mass_1hr,0.116261456,MixedConifer
VR40,mass_10hr,1.94699441,MixedConifer
VR40,mass_100hr,1.660190488,MixedConifer
VR40,mass_cwd_sound,0,MixedConifer
VR40,mass_cwd_rotten,3.443946785,MixedConifer
VR40,total_fine,3.723446354,MixedConifer
VR40,total_cwd,3.443946785,MixedConifer
VR40,total_fuel,7.167393139,MixedConifer
VR40E,mass_1hr,0.265221446,MixedConifer
VR40E,mass_10hr,1.390710293,MixedConifer
VR40E,mass_100hr,0.553396829,MixedConifer
VR40E,mass_cwd_sound,2.010006405,MixedConifer
VR40E,mass_cwd_rotten,0.24955316,MixedConifer
VR40E,total_fine,2.209328568,MixedConifer
