site,plotid,year,pre_post_fire,postTime,plot_id_time,azimuth,duff_depth_cm,litter_depth_cm,fuel_depth_cm,mass_1hr,mass_10hr,mass_100hr,mass_cwd_sound,mass_cwd_rotten,total_fine,total_cwd,total_fuel,site_plotid_time
slypark,spi7,2019,prefire,"",spi7 prefire NA,180,3.75,4.25,,0.0145326819512195,0.834426175609756,2.21358731707317,0,1.59998377805957,3.06254617463415,1.59998377805957,4.66252995269372,slypark spi7 prefire NA
slypark,spi7,2019,prefire,"",spi7 prefire NA,270,4,6.5,,0,0.556284117073171,4.42717463414634,0,0,4.98345875121951,0,4.98345875121951,slypark spi7 prefire NA
slypark,spi7,2019,prefire,"",spi7 prefire NA,90,8.5,7,,0,0,1.10679365853659,0,2.05268882878265,1.10679365853659,2.05268882878265,3.15948248731923,slypark spi7 prefire NA
slypark,spi7,2020,postfire,immediate,spi7 postfire immediate,0,4.5,1.75,,0,0,0,0,0,0,0,0,slypark spi7 postfire immediate
slypark,spi7,2020,postfire,immediate,spi7 postfire immediate,180,7,1.5,,0.0145326819512195,2.22513646829268,2.21358731707317,0,0,4.45325646731707,0,4.45325646731707,slypark spi7 postfire immediate
slypark,spi7,2020,postfire,immediate,spi7 postfire immediate,270,8,0,,0.029065363902439,1.11256823414634,4.42717463414634,0,0,5.56880823219512,0,5.56880823219512,slypark spi7 postfire immediate
slypark,spi7,2020,postfire,immediate,spi7 postfire immediate,90,5,4,,0,1.11256823414634,1.10679365853659,0,0,2.21936189268293,0,2.21936189268293,slypark spi7 postfire immediate
slypark,spi7,2021,postfire,1yr,spi7 postfire 1yr,90,2.6,2,2.8,0,0.556284117073171,2.21358731707317,0,0,2.76987143414634,0,2.76987143414634,slypark spi7 postfire 1yr
slypark,spi7,2021,postfire,1yr,spi7 postfire 1yr,0,1.5,3.6,4,0.029065363902439,0.278142058536585,1.10679365853659,0,0,1.41400108097561,0,1.41400108097561,slypark spi7 postfire 1yr
slypark,spi7,2021,postfire,1yr,spi7 postfire 1yr,180,3.3,10.55,8,0.0435980458536585,0.834426175609756,3.32038097560976,0,2.27991755746816,4.19840519707317,2.27991755746816,6.47832275454134,slypark spi7 postfire 1yr
slypark,spi7,2021,postfire,1yr,spi7 postfire 1yr,270,1.65,3.65,5.35,0.0145326819512195,0.278142058536585,1.10679365853659,2.42070639434492,0,1.39946839902439,2.42070639434492,3.82017479336931,slypark spi7 postfire 1yr
slypark,spi8,2019,prefire,"",spi8 prefire NA,0,1.5,6,,0.0145326819512195,0.556284117073171,0,0,0,0.57081679902439,0,0.57081679902439,slypark spi8 prefire NA
slypark,spi8,2019,prefire,"",spi8 prefire NA,0,3,5.5,,0.029065363902439,0,0,0,0,0.029065363902439,0,0.029065363902439,slypark spi8 prefire NA
slypark,spi8,2019,prefire,"",spi8 prefire NA,180,6.5,6,,0.0145326819512195,0,1.10679365853659,0,0,1.1213263404878,0,1.1213263404878,slypark spi8 prefire NA
slypark,spi8,2019,prefire,"",spi8 prefire NA,180,2.5,5,,0.0726634097560976,0.556284117073171,0,0,0,0.628947526829268,0,0.628947526829268,slypark spi8 prefire NA
slypark,spi8,2019,prefire,"",spi8 prefire NA,270,2,5.5,,0,0,0,0,0,0,0,0,slypark spi8 prefire NA
slypark,spi8,2019,prefire,"",spi8 prefire NA,270,2.5,3.5,,0,0.834426175609756,4.42717463414634,0,0,5.2616008097561,0,5.2616008097561,slypark spi8 prefire NA
slypark,spi8,2019,prefire,"",spi8 prefire NA,90,6,5.5,,0.0145326819512195,1.11256823414634,2.21358731707317,0.175240664796029,0,3.34068823317073,0.175240664796029,3.51592889796676,slypark spi8 prefire NA
