site,plotid,pre_post_fire,year,diamclass,status,BA_m2_sum,n_trees_diamclass,mean_dbh_cm,mean_ht,n_trees_ha,BA_m2_ha
bearmountain,BM22,prefire,2019,[40-60],LIVE,7.10688733900593,3,54.9,11.6666666666667,12.14058,28.7605780967295
bearmountain,BM22,prefire,2019,[60-80],LIVE,4.185386812745,1,73,24,4.04686,16.9376744770252
bearmountain,BM24,prefire,2019,[20-40],DEAD,2.28230423097991,3,30.9333333333333,6.7,12.14058,9.23616570018337
bearmountain,BM24,prefire,2019,[20-40],LIVE,1.0665392899672,2,25.7,10.5,8.09372,4.31613519099666
bearmountain,BM24,prefire,2019,[40-60],LIVE,3.87069347663491,2,49.6,23.2,8.09372,15.6641546028548
bearmountain,BM24,prefire,2019,[60-80],LIVE,2.86525816378004,1,60.4,27,4.04686,11.5952986526749
bearmountain,BM25,prefire,2019,[20-40],DEAD,1.20072456618365,1,39.1,18,4.04686,4.85916421790598
bearmountain,BM25,prefire,2019,[40-60],DEAD,2.06692449263143,1,51.3,9,4.04686,8.36455405225043
bearmountain,BM25,prefire,2019,[40-60],LIVE,1.37227908701456,1,41.8,27,4.04686,5.55342134607573
bearmountain,BM25,prefire,2019,[60-80],DEAD,3.32852527046002,1,65.1,17,4.04686,13.4700757760138
bearmountain,BM26,prefire,2019,[<20],DEAD,0.896123596473221,5,14.72,5.04,20.2343,3.62648673762362
bearmountain,BM26,prefire,2019,[20-40],DEAD,1.66103857576926,2,32.1,15.45,8.09372,6.7219905707376
bearmountain,BM26,prefire,2019,[40-60],DEAD,5.41554810209279,3,47.5666666666667,22.4666666666667,12.14058,21.9159649924352
bearmountain,BM26,prefire,2019,[60-80],DEAD,11.1511538097517,3,68.7666666666667,23.8333333333333,12.14058,45.1271583065317
bearmountain,BM26,prefire,2019,[80-100],DEAD,5.47599234474786,1,83.5,22,4.04686,22.1605743802663
bearmountain,BM27,prefire,2019,[<20],DEAD,0.122718463030851,1,12.5,7,4.04686,0.496624439301031
bearmountain,BM27,prefire,2019,[20-40],DEAD,2.53363949724873,3,32.1666666666667,7.2,12.14058,10.253284335836
bearmountain,BM27,prefire,2019,[40-60],DEAD,4.32812507496085,2,52.1,3.75,8.09372,17.5153162408561
bearmountain,BM27,prefire,2019,[60-80],DEAD,4.10550396554585,1,72.3,24.9,4.04686,16.6143997780089
bearmountain,BM27,prefire,2019,[80-100],DEAD,6.27718486521123,1,89.4,29,4.04686,25.4028883436287
bearmountain,BM3,prefire,2019,[<20],LIVE,0.286521103989023,1,19.1,9,4.04686,1.15951079488902
bearmountain,BM3,prefire,2019,[20-40],LIVE,0.483051286415967,1,24.8,12,4.04686,1.95484092894532
bearmountain,BM3,prefire,2019,[40-60],LIVE,2.38447667805629,1,55.1,28,4.04686,9.64964328935887
bearmountain,BM4,prefire,2019,[<20],DEAD,0.698705914121638,4,13.8,4.375,16.18744,2.82756501562229
bearmountain,BM4,prefire,2019,[<20],LIVE,0.481056375080937,3,13.6,5.16666666666667,12.14058,1.94676780206004
bearmountain,BM4,prefire,2019,[20-40],DEAD,0.320473866592695,1,20.2,7,4.04686,1.29691287175931
bearmountain,BM4,prefire,2019,[20-40],LIVE,6.23108984700143,9,29.1444444444445,11.6666666666667,36.42174,25.2163482582362
bearmountain,BM4,prefire,2019,[40-60],LIVE,1.29461891661782,1,40.6,17,4.04686,5.23914150890398
bearmountain,BM4,prefire,2019,[60-80],LIVE,3.49415003515727,1,66.7,31,4.04686,14.1403360112766
bearmountain,BM5,prefire,2019,[<20],DEAD,0.111400875496294,2,8.4,3.25,8.09372,0.450823747010933
bearmountain,BM5,prefire,2019,[<20],LIVE,0.219039693789914,1,16.7,8.6,4.04686,0.886422975210653
bearmountain,BM5,prefire,2019,[20-40],DEAD,0.817725151802887,2,22.7,9.45,8.09372,3.30921920782503
bearmountain,BM5,prefire,2019,[20-40],LIVE,0.456167107282872,1,24.1,12,4.04686,1.84604441977876
bearmountain,BM6,prefire,2019,[<20],DEAD,0.274645883758454,1,18.7,6,4.04686,1.11145344114674
bearmountain,BM6,prefire,2019,[40-60],LIVE,1.64748260346902,1,45.8,16,4.04686,6.66713144867465
bearmountain,BM6,prefire,2019,[80-100],LIVE,6.27718486521123,1,89.4,23,4.04686,25.4028883436287
bearmountain,BM7,prefire,2019,[<20],DEAD,0.0477836242611008,1,7.8,1.4,4.04686,0.193373637677278
bearmountain,BM7,prefire,2019,[>100],LIVE,8.6920328902461,1,105.2,31,4.04686,35.1754402222213
