site,plotid,pre_post_fire,year,species,status,BA_m2_sum,n_trees,n_trees_acre,BA_m2_acre,n_trees_ha,BA_m2_ha
caples,110,prefire,2013-2018,POTR5,LIVE,0.0912334214565744,2,20,0.912334214565744,8.09372,0.369208883955753
caples,110,prefire,2013-2018,SEE NOTES,DEAD,0.144494412509209,4,40,1.44494412509209,16.18744,0.584748658207017
caples,111,postfire,2020,ABCO,DEAD,0.158972442253278,4,40,1.58972442253278,16.18744,0.643339217657099
caples,111,postfire,2020,CADE27,DEAD,0.0163425649839741,2,20,0.163425649839741,8.09372,0.0661360725310454
caples,111,postfire,2020,CADE27,M,1.8457736485783,2,20,18.457736485783,8.09372,7.4695875474856
caples,111,postfire,2020,PILA,I,0.623449062104895,2,20,6.23449062104895,8.09372,2.52301107146981
caples,111,postfire,2020,PILA,LIVE,3.2889474862101,2,20,32.889474862101,8.09372,13.3099100240442
caples,111,postfire,2020,PILA,M,0.876518487518493,2,20,8.76518487518493,8.09372,3.54714760639909
caples,111,prefire,2013-2018,ABCO,DEAD,4.42237285456855,4,40,44.2237285456855,16.18744,17.8967238102393
caples,111,prefire,2013-2018,ABCO,LIVE,0.462575956296195,8,80,4.62575956296195,32.37488,1.87198013449682
caples,111,prefire,2013-2018,CADE27,LIVE,2.08848053062404,4,40,20.8848053062404,16.18744,8.45178832016119
caples,111,prefire,2013-2018,PILA,LIVE,5.30593165122374,6,60,53.0593165122374,24.28116,21.4723625620713
caples,112,prefire,2013-2018,ABCO,LIVE,2.0731542708635,16,160,20.731542708635,64.74976,8.38976509258666
caples,112,prefire,2013-2018,ABMA,LIVE,0.206982261185437,2,20,2.06982261185437,8.09372,0.837628233500896
caples,113,prefire,2013-2018,ABCO,DEAD,0.348975965942388,4,40,3.48975965942388,16.18744,1.41225687753361
caples,113,prefire,2013-2018,ABCO,LIVE,1.89487045856861,20,200,18.9487045856861,80.9372,7.66827546396295
caples,113,prefire,2013-2018,ABMA,LIVE,0.108650411128076,2,20,1.08650411128076,8.09372,0.439693002777767
caples,113,prefire,2013-2018,JUOC,LIVE,0.471716420121815,2,20,4.71716420121815,8.09372,1.90897031193417
caples,113,prefire,2013-2018,PIJE,LIVE,3.68032866979064,16,160,36.8032866979064,64.74976,14.8937748806289
caples,114,prefire,2013-2018,ABCO,LIVE,1.39631541240717,22,220,13.9631541240717,89.03092,5.65069298985409
caples,114,prefire,2013-2018,JUOC,DEAD,0.0160236933296347,2,20,0.160236933296347,8.09372,0.0648456435879656
caples,114,prefire,2013-2018,JUOC,LIVE,1.77081681865998,58,580,17.7081681865998,234.71788,7.16624775076232
caples,114,prefire,2013-2018,PIJE,DEAD,0.119656980989928,2,20,1.19656980989928,8.09372,0.4842350500889
caples,114,prefire,2013-2018,PIJE,LIVE,4.45760738697488,22,220,44.5760738697488,89.03092,18.0393130300532
caples,115,postfire,2020,ABCO,DEAD,0.0316735371334923,2,20,0.316735371334923,8.09372,0.128178370484045
caples,115,postfire,2020,ABCO,M,0.197959607084327,2,20,1.97959607084327,8.09372,0.801114815525279
caples,115,postfire,2020,CADE27,DEAD,0.369647645603009,4,40,3.69647645603009,16.18744,1.49591227108499
caples,115,postfire,2020,CADE27,M,0.213251309325675,4,40,2.13251309325675,16.18744,0.862998193657702
caples,115,postfire,2020,PIJE,LIVE,1.38756293527427,8,80,13.8756293527427,32.37488,5.61527294024404
caples,115,prefire,2013-2018,ABCO,DEAD,0.110766273780269,4,40,1.10766273780269,16.18744,0.448255602710419
caples,115,prefire,2013-2018,ABCO,LIVE,0.180517484671596,2,20,1.80517484671596,8.09372,0.730528988018096
caples,115,prefire,2013-2018,CADE27,DEAD,0.737056906440335,2,20,7.37056906440335,8.09372,2.98276611239714
caples,115,prefire,2013-2018,CADE27,LIVE,0.364319504462521,6,60,3.64319504462521,24.28116,1.4743500298292
caples,115,prefire,2013-2018,PIJE,LIVE,1.37297023739835,8,80,13.7297023739835,32.37488,5.55621833491788
caples,116,prefire,2013-2018,ABCO,DEAD,3.18054369010533,16,160,31.8054369010533,64.74976,12.8712150377396
caples,116,prefire,2013-2018,ABCO,LIVE,10.6055659799734,60,600,106.055659799734,242.8116,42.919240741715
caples,116,prefire,2013-2018,ABCO,M,1.02805635075705,2,20,10.2805635075705,8.09372,4.16040012362468
caples,116,prefire,2013-2018,ABMA,DEAD,0.368485256321181,4,40,3.68485256321181,16.18744,1.49120824439593
caples,116,prefire,2013-2018,ABMA,LIVE,0.0541374954029861,4,40,0.541374954029861,16.18744,0.219086864646528
caples,116,prefire,2013-2018,PIJE,LIVE,1.48101117955163,2,20,14.8101117955163,8.09372,5.9934449020803
caples,117,postfire,2020,ABCO,DEAD,0.0401008594267469,4,40,0.401008594267469,16.18744,0.162282563979725
caples,117,postfire,2020,ABCO,LIVE,0.237407015239127,8,80,2.37407015239127,32.37488,0.960752953690614
caples,117,postfire,2020,CADE27,DEAD,0.234510466812517,30,300,2.34510466812517,121.4058,0.949031027724904
caples,117,postfire,2020,CADE27,LIVE,2.35975705626152,36,360,23.5975705626152,145.68696,9.54960644070248
caples,117,postfire,2020,CADE27,M,0.805405396211835,30,300,8.05405396211835,121.4058,3.25936288171383
caples,117,postfire,2020,PIJE,LIVE,0.428345162742681,4,40,4.28345162742681,16.18744,1.73345290529684
caples,117,postfire,2020,PIJE,M,0.0503298851068353,2,20,0.503298851068353,8.09372,0.203677998843447
caples,117,prefire,2013-2018,ABCO,DEAD,0.53572951203136,2,20,5.3572951203136,8.09372,2.16802233305923
caples,117,prefire,2013-2018,ABCO,LIVE,0.280564644317817,12,120,2.80564644317817,48.56232,1.135405836504
caples,117,prefire,2013-2018,ABCO,M,0.0238918121305504,4,40,0.238918121305504,16.18744,0.0966868188386391
caples,117,prefire,2013-2018,CADE27,DEAD,0.0714131134050764,8,80,0.714131134050764,32.37488,0.288998872114467
caples,117,prefire,2013-2018,CADE27,LIVE,3.09160048969322,78,780,30.9160048969322,315.65508,12.5112743577199
caples,117,prefire,2013-2018,CADE27,M,0.0392133595021078,2,20,0.392133595021078,8.09372,0.1586909760347
caples,117,prefire,2013-2018,PIJE,LIVE,0.446844431083344,6,60,4.46844431083344,24.28116,1.80831685437394
caples,118,postfire,2020,ABCO,DEAD,0.0762857236107942,6,60,0.762857236107942,24.28116,0.308717643451578
caples,118,postfire,2020,ABCO,LIVE,2.61276522061837,10,100,26.1276522061837,40.4686,10.5734950607117
caples,118,postfire,2020,ABCO,M,0.653490541854847,2,20,6.53490541854847,8.09372,2.64458473421071
caples,118,postfire,2020,CADE27,DEAD,0.499139382395,26,260,4.99139382395,105.21836,2.01994720103903
caples,118,postfire,2020,CADE27,LIVE,0.319501543666409,2,20,3.19501543666409,8.09372,1.29297801700184
caples,118,postfire,2020,CADE27,M,4.11437582319959,18,180,41.1437582319959,72.84348,16.6503029438735
caples,118,postfire,2020,PIJE,DEAD,4.33892272891124,2,20,43.3892272891124,8.09372,17.5590128347217
caples,118,prefire,2013-2018,ABCO,LIVE,2.49988779657489,16,160,24.9988779657489,64.74976,10.1166959284471
caples,118,prefire,2013-2018,ABCO,M,0.01082121589529,2,20,0.1082121589529,8.09372,0.0437919457580135
caples,118,prefire,2013-2018,CADE27,DEAD,0.175706135522624,14,140,1.75706135522624,56.65604,0.711058131601084
caples,118,prefire,2013-2018,CADE27,LIVE,4.83835742101568,30,300,48.3835742101568,121.4058,19.5801551128115
caples,118,prefire,2013-2018,CADE27,M,0.0382268994088806,2,20,0.382268994088806,8.09372,0.154698910141823
caples,118,prefire,2013-2018,PIJE,LIVE,4.43869499920027,2,20,44.3869499920027,8.09372,17.9627772444636
caples,119,postfire,2020,ABCO,DEAD,0.779993053236947,20,200,7.79993053236947,80.9372,3.15652268742247
caples,119,postfire,2020,ABCO,LIVE,0.791894977005072,4,40,7.91894977005072,16.18744,3.20468810664275
caples,119,postfire,2020,ABCO,M,0.845033445944216,6,60,8.45033445944216,24.28116,3.41973205105381
caples,119,postfire,2020,CADE27,DEAD,0.0160236933296347,2,20,0.160236933296347,8.09372,0.0648456435879656
caples,119,postfire,2020,CADE27,LIVE,2.37259517464041,2,20,23.7259517464041,8.09372,9.60156050844529
caples,119,prefire,2013-2018,ABCO,DEAD,0.763347324561901,4,40,7.63347324561901,16.18744,3.08915975387658
caples,119,prefire,2013-2018,ABCO,LIVE,2.25098255222362,30,300,22.5098255222362,121.4058,9.10941125129169
caples,119,prefire,2013-2018,CADE27,LIVE,3.15603926740733,4,40,31.5603926740733,16.18744,12.7720490697
caples,12,postfire,2020,ABCO,DEAD,2.16153198459796,38,380,21.6153198459796,153.78068,8.7474173271901
caples,12,postfire,2020,ABCO,M,3.85972617668123,12,120,38.5972617668123,48.56232,15.6197714753642
caples,12,postfire,2020,CADE27,DEAD,0.33858043585166,12,120,3.3858043585166,48.56232,1.37018762263065
caples,12,postfire,2020,CADE27,M,0.601867891371059,2,20,6.01867891371059,8.09372,2.43567509487389
caples,12,postfire,2020,PICO,DEAD,0.122452998451623,4,40,1.22452998451623,16.18744,0.495550141313935
caples,12,postfire,2020,PILA,DEAD,0.42474332676534,2,20,4.2474332676534,8.09372,1.71887677935358
caples,12,postfire,2020,UNKNOWN,DEAD,0.113664393003205,2,20,1.13664393003205,8.09372,0.459983885468952
caples,12,prefire,2013-2018,ABCO,DEAD,5.00755574735639,22,220,50.0755574735639,89.03092,20.2648770517467
caples,12,prefire,2013-2018,ABCO,LIVE,4.7651268962605,50,500,47.651268962605,202.343,19.2838014314008
caples,12,prefire,2013-2018,CADE27,DEAD,0.072511100037506,4,40,0.72511100037506,16.18744,0.293442270297782
caples,12,prefire,2013-2018,CADE27,LIVE,0.92951872638088,10,100,9.2951872638088,40.4686,3.76163215304173
caples,12,prefire,2013-2018,PICO,DEAD,0.0554004156497292,4,40,0.554004156497292,16.18744,0.224197726076263
caples,12,prefire,2013-2018,PICO,LIVE,0.108110057191659,4,40,1.08110057191659,16.18744,0.437506266046636
caples,12,prefire,2013-2018,PILA,LIVE,0.0179840471454748,2,20,0.179840471454748,8.09372,0.072778921031136
caples,120,prefire,2013-2018,ABCO,DEAD,0.661352377470455,46,460,6.61352377470455,186.15556,2.67640048229009
caples,120,prefire,2013-2018,ABCO,LIVE,4.77438516981063,102,1020,47.7438516981063,412.77972,19.3212683682998
caples,120,prefire,2013-2018,CADE27,DEAD,0.015707963267949,2,20,0.15707963267949,8.09372,0.063567928230532
caples,120,prefire,2013-2018,CADE27,LIVE,4.24028457357016,2,20,42.4028457357016,8.09372,17.1598380293981
caples,121,postfire,2020,CADE27,DEAD,0.122710609049217,16,160,1.22710609049217,64.74976,0.496592655336916
caples,121,postfire,2020,CADE27,LIVE,0.0838428247390044,10,100,0.838428247390044,40.4686,0.339300173723287
