Lifeform,CODE,Genus,Species,epithet,Var/Ssp,Rare?,Alt Code,Family,Klamath,Concow,Henry Coe,Sly Park,Burton,Wilder Ranch,Valentine,Shaver Lake,Healsburg,Bear Mnt2021,Stanislaus,SpringsFire,FrenchMeadows,SlyPark,Burton/Bliss SP,Notes
FB,CUSCAL,Cuscuta,californica,,,,,,,,,,,,,,,,,,,,,
FB,CYMTER,Cymopterus,terebinthinus,,,,,Apiaceae,,,,,,,,,,,,,x,,,
FB,CYAOCC,Cynoglossum,occidentale,,,,,,,,,,,,,,,,,,x,,,
FB,CYNGRA,Cynoglossum ,grande,,,,,,,,,,,x,,,,,,,,,,
FB,CYNOGLOSSUM,Cynoglossum ,,,,,,,,,,,,,,,,,,,,,,
GR,CYEC,Cynosurus,echinatus,,,,CYNECH,,x,x,x,x,,x,,,x,x,,,,x,,
GR,CYNECH,Cynosurus,echinatus,,,,,,x,,,,,,,,,,,,,,,
FERN,CYSFRA,Cystopteris,fragilis,,,,,,,,,,,,,,x,,,,,,,
GR,DACGLO,Dactylis,glomerata,,,,,,,,,,,,,,,,,,,,,
GR,DANTH,Danthonia,sp.,,,,,,,,,,,,,,,,,,,,,
FB,DAUPUS,Daucus,pusillus,,,,,,x,,,,,,,,,,,,,,,
FB,DELDEP,Delphinium,depauperatum,,,,,,,,,,,,,,,,,,x,,,
FB,DELGLA,Delphinium,glaucum,,,,,,,,,,,,,,,,,,,,,
FB,DELNUT,Delphinium,nuttalianum,,,,,,,,,,,,,,,,,,x,,,
FB,DELPHINIUM,Delphinium,sp.,,,,,,,,,,,,,,,,,,,,,
GR,DESCES,Deschampsia,cespitosa,,,,,,,,,,,,,,,,,,,,,
GR,DESDAN,Deschampsia,danthonioides,,,,,,,,,,,,,,,,,,,,,
GR,DESCHAMPSIA,Deschampsia,,,,,,,,,,,,,,,,,,,,,,
FB,DICCAPCAP,Dichelostemma,capitatum,,capitatum,,,,,,,,,,,,x,,,,,,,
FB,DICMUL,Dichelostemma,multiflorum,,,,DICMUL,,,,,,,,,,,x,,,,x,,
FB,DICHELOSTEMMA,Dichelostemma,,,,,,,,,,,,,,,,,,,,,,
FB,DIECAN,Dieteria,canescens,,,,,,,,,,,,,,,,,,,,,
FB,DIPNAN,Diplacus,nanus,,,,,,,,,,,,,,,,,,,,,
FB,DIPLACUS,Diplacus,,,,,,,,,,,,,,,,,,,,,,
FB,DIHO,Disporum ,hookeri,,,,,,,,,,,,,,,,,,x,x,,
