site,plotid,tag,status,species,dbh,ht,ht2crown,ht2deadcr,crownclass,crownwidth,bolechar,health,stumpdbh,stumpht,decay,scorch_ht,scorch,torch_ht,torch,resprout,notes
springsfire,springs20,,stump,pije,,,,,,,,,9,0.09,1,,,,,,
springsfire,springs20,,stump,pije,,,,,,,,,17,0.16,1,,,,,,
springsfire,springs20,,stump,pije,,,,,,,,,8,0.18,1,,,,,,
springsfire,springs20,,stump,pije,,,,,,,,,41.5,0.1,1,,,,,,
springsfire,springs20,187,live,pije,11.2,4.2,2,0.8,IN,1.25,0.8,1,,,,,,,,,
springsfire,springs20,,live,pije,36.4,14.1,5.1,4,CO,3,,1,,,,,,,,,
springsfire,springs20,,stump,pije,,,,,,,,,45,0.35,3,,,,,,
springsfire,springs20,,stump,pije,,,,,,,,,18,0.25,2,,,,,,
springsfire,springs20,,stump,pije,,,,,,,,,23,0.21,2,,,,,,
springsfire,springs20,,stump,pije,,,,,,,,,34,0.15,2,,,,,,
springsfire,springs20,,stump,pije,,,,,,,,,13,0.18,3,,,,,,
springsfire,springs20,,stump,pije,,,,,,,,,18,0.15,3,,,,,,
springsfire,springs20,189,live,pije,47,16.5,5,,,,,,,,,,,,,,
springsfire,springs20,,stump,pije,,,,3.5,,,3.5,1,38.5,0.3,2,,,,,,
springsfire,springs20,,stump,pije,,,,,,,,,14,0.17,2,,,,,,
springsfire,springs20,190,live,pije,34.95,10,4,1.2,IN,3.5,3,,,,,,,,,,
springsfire,springs20,191,live,pije,45.6,13,5,2.5,CO,4,,,,,,,,,,,
springsfire,springs20,,stump,pije,,,,,,,,,23,0.25,1,,,,,,
springsfire,springs20,,stump,pije,,,,,,,,,17.5,0.15,1,,,,,,
springsfire,springs20,192,live,pije,38.7,12,3.5,3.5,IN,4.5,1.5,,,,,,,,,,
springsfire,springs20,,stump,pije,,,,,,,,,10,0.14,2,,,,,,
springsfire,springs20,,stump,pije,,,,,,,,,24,0.23,3,,,,,,
springsfire,springs21,,stump,pije,,,,,,,,,9,0.13,1,,,,,,
springsfire,springs21,193,live,pije,28.5,10.7,2.5,1.6,IN,3,0.2,1,,,,,,,,,
springsfire,springs21,,stump,pije,,,,,,,,,100,0.39,2,,,,,,
springsfire,springs21,,stump,pije,,,,,,,,,22,0.21,4,,,,,,
springsfire,springs21,194,live,pije,51.4,14.9,3.7,1,CO,4,1,1,,,,,,,,,
springsfire,springs21,195,live,pije,45,16.7,4.5,2,CO,4.5,0.5,1,,,,,,,,,
springsfire,springs21,,stump,pije,,,,,,,,,42,0.6,3,,,,,,
springsfire,springs21,,stump,pije,,,,,,,,,40,0.24,3,,,,,,
springsfire,springs21,,stump,pije,,,,,,,,,12,0.14,5,,,,,,
springsfire,springs21,196,live,pije,42.6,13,4,1.7,CO,4,0,1,,,,,,,,,char on top stem
springsfire,springs21,,stump,pije,,,,,,,,,28,0.22,3,,,,,,
